hero_id,matchup_rating,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.ultimate_check,diagnosis_snippets.positioning,diagnosis_snippets.target_priority
Sojourn,3.1,"[""dive_threat"", ""long_range_threat""]","[""レールガン"", ""オーバークロック"", ""ディスラプター・ショット""]","[""パワー・スライド"", ""ディスラプター・ショット""]","[""レールガン"", ""オーバークロック""]",ソジョーン相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。レールガン・オーバークロックが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、パワー・スライド・ディスラプター・ショットの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Soldier: 76,3.6,"[""long_range_threat""]","[""タクティカル・バイザー"", ""バイオティック・フィールド"", ""ヘリックス・ロケット""]","[""スプリント"", ""ヘリックス・ロケット"", ""バイオティック・フィールド""]","[""タクティカル・バイザー"", ""バイオティック・フィールド""]",ソルジャー76相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。タクティカル・バイザー・バイオティック・フィールドが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、スプリント・ヘリックス・ロケットの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Hanzo,2.7,"[""long_range_threat""]","[""龍撃波"", ""電光石火"", ""鳴響矢水""]","[""体術"", ""壁登り"", ""電光石火""]","[""龍撃波""]",ハンゾー相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。龍撃波・電光石火が見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、体術・壁登りの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Freja,2.7,"[""dive_threat"", ""aerial_pressure"", ""long_range_threat""]","[""ボーラ・ショット"", ""ボーラ・ショット"", ""テイク・エイム""]","[""クイック・ダッシュ"", ""アップドラフト"", ""ボーラ・ショット""]","[""ボーラ・ショット""]",フレイヤ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。ボーラ・ショットが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、クイック・ダッシュ・アップドラフトの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Anran,5.1,"[""dive_threat"", ""flank_threat""]","[""焚身焔"", ""怒炎衝"", ""朱羽焚""]","[""熠閃舞"", ""朱魂返"", ""怒炎衝""]","[""焚身焔""]",アンラン相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。焚身焔・怒炎衝が見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、熠閃舞・朱魂返の後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Genji,5.3,"[""dive_threat"", ""flank_threat""]","[""龍撃剣"", ""木の葉返し"", ""風斬り""]","[""風斬り"", ""サイバー体術"", ""風斬り""]","[""龍撃剣"", ""木の葉返し""]",ゲンジ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。龍撃剣・木の葉返しが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、風斬り・サイバー体術の後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Shion,4.8,"[""dive_threat"", ""flank_threat""]","[""罰"", ""殺戮"", ""凶走""]","[""回避"", ""凶走"", ""凶走""]","[""罰"", ""殺戮""]",シオン相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。罰・殺戮が見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、回避・凶走の後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Sombra,5.5,"[""dive_threat"", ""flank_threat""]","[""EMP"", ""ハック"", ""EMP""]","[""トランズロケーター"", ""ステルス"", ""ハック""]","[""EMP"", ""ハック"", ""EMP""]",ソンブラ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。EMP・ハックが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、トランズロケーター・ステルスの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Tracer,5.5,"[""dive_threat"", ""flank_threat""]","[""パルス・ボム"", ""リコール"", ""ブリンク""]","[""ブリンク"", ""リコール"", ""ブリンク""]","[""パルス・ボム"", ""リコール""]",トレーサー相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。パルス・ボム・リコールが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、ブリンク・リコールの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Venture,5.5,"[""dive_threat"", ""flank_threat""]","[""テクトニック・ショック"", ""バロー"", ""ドリル・ダッシュ""]","[""バロー"", ""ドリル・ダッシュ"", ""ドリル・ダッシュ""]","[""テクトニック・ショック"", ""バロー""]",ベンチャー相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。テクトニック・ショック・バローが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、バロー・ドリル・ダッシュの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Reaper,7.3,"[""dive_threat"", ""flank_threat""]","[""デス・ブロッサム"", ""レイス・フォーム"", ""シャドウ・ステップ""]","[""レイス・フォーム"", ""シャドウ・ステップ"", ""シャドウ・ステップ""]","[""デス・ブロッサム"", ""レイス・フォーム""]",リーパー相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。デス・ブロッサム・レイス・フォームが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、レイス・フォーム・シャドウ・ステップの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Vendetta,5.6,"[""dive_threat"", ""flank_threat""]","[""サンダリング・ブレード"", ""ウォーディング・スタンス"", ""ワールウィンド""]","[""ソアリング・スライス"", ""ワールウィンド"", ""ソアリング・スライス""]","[""サンダリング・ブレード"", ""ウォーディング・スタンス""]",ヴェンデッタ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。サンダリング・ブレード・ウォーディング・スタンスが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、ソアリング・スライス・ワールウィンドの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Echo,3.2,"[""dive_threat"", ""aerial_pressure""]","[""コピー"", ""スティッキー・ボム"", ""フォーカス・ビーム""]","[""フライト"", ""スティッキー・ボム"", ""フォーカス・ビーム""]","[""コピー""]",エコー相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。コピー・スティッキー・ボムが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、フライト・スティッキー・ボムの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Pharah,5.0,"[""dive_threat"", ""aerial_pressure""]","[""バレッジ"", ""コンカッシブ・ブラスト""]","[""ジャンプ・ジェット"", ""ジェット・ダッシュ"", ""コンカッシブ・ブラスト""]","[""バレッジ""]",ファラ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。バレッジ・コンカッシブ・ブラストが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、ジャンプ・ジェット・ダッシュの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Symmetra,7.1,"[""balanced_pressure""]","[""フォトン・バリア"", ""フォトン・バリア"", ""セントリー・タレット""]","[""テレポーター"", ""セントリー・タレット"", ""テレポーター""]","[""フォトン・バリア"", ""フォトン・バリア""]",シンメトラ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。フォトン・バリアが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、テレポーター・セントリー・タレットの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Junkrat,7.6,"[""balanced_pressure""]","[""RIPタイヤ"", ""スティール・トラップ"", ""コンカッション・マイン""]","[""コンカッション・マイン"", ""スティール・トラップ"", ""コンカッション・マイン""]","[""RIPタイヤ""]",ジャンクラット相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。RIPタイヤ・スティール・トラップが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、コンカッション・マイン・スティール・トラップの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Torbjörn,4.4,"[""balanced_pressure""]","[""モルテン・コア"", ""オーバーロード"", ""タレット""]","[""タレット"", ""オーバーロード""]","[""モルテン・コア"", ""オーバーロード""]",トールビョーン相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。モルテン・コア・オーバーロードが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、タレット・オーバーロードの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Bastion,5.2,"[""long_range_threat""]","[""砲台モード"", ""強襲モード"", ""A-36タクティカル・グレネード""]","[""強襲モード"", ""A-36タクティカル・グレネード""]","[""砲台モード""]",バスティオン相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。砲台モード・強襲モードが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、強襲モード・A-36タクティカル・グレネードの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Mei,6.6,"[""save_sustain""]","[""ブリザード"", ""クリオフリーズ"", ""アイス・ウォール""]","[""アイス・ウォール"", ""クリオフリーズ"", ""アイス・ウォール""]","[""ブリザード"", ""アイス・ウォール"", ""クリオフリーズ""]",メイ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。ブリザード・クリオフリーズが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、アイス・ウォール・クリオフリーズの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Illari,4.1,"[""long_range_threat""]","[""キャプティブ・サン"", ""ヒーリング・パイロン"", ""アウトバースト""]","[""アウトバースト"", ""アウトバースト"", ""ヒーリング・パイロン""]","[""キャプティブ・サン"", ""ヒーリング・パイロン""]",イラリー相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。キャプティブ・サン・ヒーリング・パイロンが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、アウトバーストの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Jetpack Cat,3.6,"[""dive_threat"", ""aerial_pressure"", ""save_sustain""]","[""キャットナッパー"", ""ゴロゴロ"", ""キャットナッパー""]","[""ワイルド・フライト"", ""キャットナッパー"", ""ワイルド・フライト""]","[""キャットナッパー"", ""ゴロゴロ""]",ジェットパック・キャット相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。キャットナッパー・ゴロゴロが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、ワイルド・フライト・キャットナッパーの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Juno,4.5,"[""dive_threat"", ""aerial_pressure"", ""save_sustain""]","[""オービタル・レイ"", ""ハイパーリング"", ""オービタル・レイ""]","[""グライド・ブースト"", ""パルサー・トーピード"", ""ハイパーリング""]","[""オービタル・レイ"", ""ハイパーリング"", ""オービタル・レイ""]",ジュノ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。オービタル・レイ・ハイパーリングが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、グライド・ブースト・パルサー・トーピードの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Baptiste,4.0,"[""long_range_threat"", ""save_sustain""]","[""アンプリフィケーション・マトリックス"", ""イモータリティ・フィールド"", ""イモータリティ・フィールド""]","[""イモータリティ・フィールド"", ""イモータリティ・フィールド"", ""リジェネ・バースト""]","[""アンプリフィケーション・マトリックス"", ""イモータリティ・フィールド"", ""リジェネ・バースト""]",バティスト相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。アンプリフィケーション・マトリックス・イモータリティ・フィールドが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、イモータリティ・フィールドの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Mercy,4.8,"[""dive_threat"", ""aerial_pressure"", ""save_sustain""]","[""ヴァルキリー"", ""蘇生"", ""ガーディアン・エンジェル""]","[""ガーディアン・エンジェル"", ""蘇生"", ""ガーディアン・エンジェル""]","[""ヴァルキリー"", ""蘇生"", ""ガーディアン・エンジェル""]",マーシー相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。ヴァルキリー・蘇生が見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、ガーディアン・エンジェル・蘇生の後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Lifeweaver,5.1,"[""save_sustain""]","[""命の樹"", ""ライフグリップ"", ""ライフグリップ""]","[""ペタル・プラットフォーム"", ""若返りの風"", ""ライフグリップ""]","[""命の樹"", ""ライフグリップ"", ""ペタル・プラットフォーム""]",ライフウィーバー相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。命の樹・ライフグリップが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、ペタル・プラットフォーム・若返りの風の後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Kiriko,4.7,"[""dive_threat"", ""save_sustain""]","[""狐走り"", ""鈴のご加護"", ""鈴のご加護""]","[""神出鬼没"", ""鈴のご加護"", ""鈴のご加護""]","[""狐走り"", ""鈴のご加護"", ""神出鬼没""]",キリコ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。狐走り・鈴のご加護が見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、神出鬼没・鈴のご加護の後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Brigitte,6.4,"[""save_sustain""]","[""ラリー"", ""バリア・シールド"", ""ラリー""]","[""シールド・バッシュ"", ""ウィップ・ショット"", ""バリア・シールド""]","[""ラリー"", ""リペア・パック"", ""ラリー""]",ブリギッテ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。ラリー・バリア・シールドが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、シールド・バッシュ・ウィップ・ショットの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Moira,5.7,"[""dive_threat"", ""save_sustain""]","[""コアレッセンス"", ""フェード"", ""バイオティック・オーブ""]","[""フェード"", ""バイオティック・オーブ"", ""フェード""]","[""コアレッセンス"", ""フェード""]",モイラ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。コアレッセンス・フェードが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、フェード・バイオティック・オーブの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Lúcio,5.8,"[""dive_threat"", ""save_sustain""]","[""サウンド・バリア"", ""サウンド・バリア"", ""サウンドウェーブ""]","[""ウォール・ライド"", ""サウンドウェーブ"", ""アンプ・イット・アップ""]","[""サウンド・バリア"", ""サウンド・バリア""]",ルシオ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。サウンド・バリアが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、ウォール・ライド・サウンドウェーブの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Ana,4.2,"[""long_range_threat"", ""save_sustain""]","[""ナノ・ブースト"", ""スリープ・ダーツ"", ""スリープ・ダーツ""]","[""スリープ・ダーツ"", ""バイオティック・グレネード"", ""スリープ・ダーツ""]","[""ナノ・ブースト"", ""スリープ・ダーツ""]",アナ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。ナノ・ブースト・スリープ・ダーツが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、スリープ・ダーツ・バイオティック・グレネードの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Wuyang,4.4,"[""save_sustain""]","[""守衛波浪"", ""養神泉"", ""驚濤破""]","[""飛流歩"", ""玄武之杖"", ""驚濤破""]","[""守衛波浪"", ""養神泉"", ""驚濤破""]",ウーヤン相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。守衛波浪・養神泉が見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、飛流歩・玄武之杖の後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Zenyatta,5.4,"[""long_range_threat""]","[""不和のオーブ"", ""心頭滅却"", ""心頭滅却""]","[""不和のオーブ"", ""心頭滅却""]","[""不和のオーブ"", ""心頭滅却"", ""心頭滅却""]",ゼニヤッタ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。不和のオーブ・心頭滅却が見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、不和のオーブ・心頭滅却の後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Mizuki,4.4,"[""save_sustain""]","[""癒しの波動"", ""霊域結界"", ""霊域結界""]","[""形代"", ""呪縛"", ""形代""]","[""癒しの波動"", ""霊域結界"", ""快気の笠""]",ミズキ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。癒しの波動・霊域結界が見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、形代・呪縛の後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
