hero_id,ashe_comp_stats.threat_ashe,ashe_comp_stats.dynamite_value,ashe_comp_stats.coach_gun_value,ashe_comp_stats.viper_value,ashe_comp_stats.bob_denial,ashe_comp_stats.highground_value,ashe_comp_stats.matchup_rating,ashe_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.dynamite_check,key_enemy_skills.bob_check,diagnosis_snippets.positioning,diagnosis_snippets.target_priority,diagnosis_snippets.dynamite_policy,diagnosis_snippets.bob_condition,ashe_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.cross_target_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,cross_target_recalibration.diff_points,source_status,source_note,cross_target_recalibration,torbjorn_reassessment_note
Roadhog,8,10,8,4,8,5,5,7,"[""close_or_dive_pressure"", ""dynamite_value"", ""bob_must_check""]","[""テイク・ア・ブリーザー"", ""チェイン・フック""]","[""チェイン・フック"", ""ピッグペン""]","[""テイク・ア・ブリーザー""]","[""テイク・ア・ブリーザー"", ""チェイン・フック""]",ロードホッグ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「チェイン・フックを外した直後、またはテイク・ア・ブリーザー使用中」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはロードホッグ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,テイク・ア・ブリーザー、チェイン・フックを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Orisa,7,10,6,4,10,5,5,6,"[""dynamite_value"", ""bob_must_check""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]","[""エネルギー・ジャベリン""]","[""フォーティファイ"", ""ジャベリン・スピン""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]",オリーサ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ジャベリン・スピン後、フォーティファイが切れた後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはオリーサ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,フォーティファイ、ジャベリン・スピン、エネルギー・ジャベリンを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Sigma,7,10,6,4,10,5,5,6,"[""dynamite_value"", ""bob_must_check""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""アクリーション""]","[""アクリーション""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""アクリーション""]",シグマ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「キネティック・グラスプ後、エクスペリメンタル・バリアの位置がずれた瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはシグマ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,エクスペリメンタル・バリア、キネティック・グラスプ、アクリーションを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Reinhardt,7,10,8,4,8,5,5,6,"[""dynamite_value"", ""bob_must_check""]","[""バリア・フィールド"", ""アースシャター""]","[""チャージ""]","[""バリア・フィールド""]","[""バリア・フィールド"", ""アースシャター""]",ラインハルト相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「バリア・フィールドが割れかけた時、またはチャージ後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはラインハルト本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,バリア・フィールド、アースシャターを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Ashe,7,8,7,7,6,8,5,6,"[""long_sightline_duel"", ""cross_target_recalibrated_v41"", ""mirror_matchup_v41""]","[""ダイナマイト"", ""コーチ・ガン"", ""B.O.B""]","[""コーチ・ガン"", ""ダイナマイト""]",,"[""コーチ・ガン"", ""遮蔽位置""]",アッシュ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「相手アッシュがダイナマイトを投げた直後、またはスコープで同じ位置を覗いた瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,アッシュミラーは、ダイナマイトを先に当てた側が高台と遮蔽を動かしやすい。コーチ・ガンは逃げではなく、高台再確保と距離作りに残す。,ダイナマイトはアッシュ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,B.O.Bを確認してからB.O.Bを出す。,True,アッシュミラーは、ダイナマイトを先に当てた側が高台と遮蔽を動かしやすい。コーチ・ガンは逃げではなく、高台再確保と距離作りに残す。,アッシュミラーは、ダイナマイトを先に当てた側が高台と遮蔽を動かしやすい。コーチ・ガンは逃げではなく、高台再確保と距離作りに残す。,ダイナマイトを先に当てる / コーチ・ガンを高台再確保に残す / ザ・ヴァイパーで同じ射線を見続けない,v41,7,5,ダイナマイト・高台差,"[""ダイナマイトを先に当てる"", ""コーチ・ガンを高台再確保に残す"", ""ザ・ヴァイパーで同じ射線を見続けない""]",,,,
Widowmaker,10,6,7,7,5,6,2,8,"[""long_sightline_duel""]","[""グラップリング・フック"", ""ウィドウズ・キス""]","[""グラップリング・フック"", ""ヴェノム・マイン""]","[""グラップリング・フック""]","[""ウィドウズ・キス""]",ウィドウメイカー相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ウィドウメイカーが別射線へ移る前、またはグラップリング・フック後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはウィドウメイカー本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,ウィドウズ・キスを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Emre,8,6,7,6,5,5,5,7,"[""standard_midrange_control""]","[""オルタード・バイタル"", ""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル""]","[""オルタード・バイタル"", ""サイバー・フラグ""]","[""オルタード・バイタル""]","[""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル""]",エムレ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「オルタード・バイタル、サイバー・フラグの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはエムレ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,シンセティック・バースト・ライフル、オーバーライド・プロトコルを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Cassidy,6,6,6,6,5,5,5,6,"[""standard_midrange_control"", ""cross_target_recalibrated_v41""]","[""コンバット・ロール"", ""デッド・アイ""]","[""コンバット・ロール"", ""フラッシュバン""]","[""コンバット・ロール""]","[""デッド・アイ""]",キャスディ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「コンバット・ロール後、またはフラッシュバンを使った後」。長く覗かず、撃った後は遮蔽へ戻る。,キャスディに近距離を渡さない。アッシュはフラッシュバン圏外を保ち、ダイナマイトで先に体力を削る。,ダイナマイトはキャスディ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,デッド・アイを確認してからB.O.Bを出す。,,,キャスディに近距離を渡さない。アッシュはフラッシュバン圏外を保ち、ダイナマイトで先に体力を削る。,,v41,6,5,中距離距離管理,,,,,
Sojourn,9,6,8,6,5,7,4,8,"[""standard_midrange_control"", ""cross_target_recalibrated_v41""]","[""パワー・スライド"", ""レールガン"", ""オーバークロック""]","[""パワー・スライド"", ""ディスラプター・ショット""]","[""パワー・スライド""]","[""レールガン"", ""オーバークロック""]",ソジョーン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「パワー・スライド後、レールガンを撃った直後」。長く覗かず、撃った後は遮蔽へ戻る。,ソジョーンのレールガンが最も危険。アッシュは同じ位置に止まらず、ダイナマイトとコーチ・ガンで位置をずらす。,ダイナマイトはソジョーン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,レールガン、オーバークロックを確認してからB.O.Bを出す。,,,ソジョーンのレールガンが最も危険。アッシュは同じ位置に止まらず、ダイナマイトとコーチ・ガンで位置をずらす。,,v41,9,4,レールガン最警戒,,,,,
Soldier: 76,5,6,7,6,5,5,6,4,"[""standard_midrange_control"", ""cross_target_recalibrated_v41""]","[""バイオティック・フィールド"", ""スプリント"", ""タクティカル・バイザー""]","[""スプリント"", ""ヘリックス・ロケット""]","[""バイオティック・フィールド"", ""スプリント""]","[""バイオティック・フィールド"", ""タクティカル・バイザー""]",ソルジャー76相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「バイオティック・フィールド使用後、同じ高台で撃ち続ける瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ソルジャー76には近すぎる距離を渡さない。アッシュは高台と長い射線を使い、ヘリックス・ロケット後にザ・ヴァイパーで削る。,ダイナマイトはソルジャー76本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,バイオティック・フィールド、タクティカル・バイザーを確認してからB.O.Bを出す。,,,ソルジャー76には近すぎる距離を渡さない。アッシュは高台と長い射線を使い、ヘリックス・ロケット後にザ・ヴァイパーで削る。,,v41,5,6,距離維持・高台管理,,,,,
Hanzo,8,6,7,7,5,6,5,6,"[""long_sightline_duel"", ""cross_target_recalibrated_v41""]","[""体術"", ""壁登り"", ""龍撃波""]","[""体術"", ""壁登り"", ""電光石火""]","[""体術"", ""壁登り""]",[],ハンゾー相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ハンゾーが遮蔽から出て嵐ノ弓を引き切る瞬間、または体術後」。長く覗かず、撃った後は遮蔽へ戻る。,ハンゾーは一発の圧が高い。アッシュは同じ射線で撃ち合わず、ダイナマイトで遮蔽裏を動かしてから撃つ。,ダイナマイトはハンゾー本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,龍撃波を確認してからB.O.Bを出す。,,,ハンゾーは一発の圧が高い。アッシュは同じ射線で撃ち合わず、ダイナマイトで遮蔽裏を動かしてから撃つ。,,v41,8,5,遠距離ポーク勝負,,,,,
Freja,10,6,8,7,5,8,4,8,"[""long_sightline_duel""]","[""クイック・ダッシュ"", ""アップドラフト"", ""ボーラ・ショット""]","[""クイック・ダッシュ"", ""アップドラフト"", ""ボーラ・ショット""]","[""クイック・ダッシュ"", ""アップドラフト""]","[""ボーラ・ショット""]",フレイヤ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「クイック・ダッシュ、アップドラフトの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはフレイヤ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,ボーラ・ショットを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Anran,10,6,10,6,5,5,2,7,"[""close_or_dive_pressure""]","[""熠閃舞"", ""朱魂返"", ""焚身焔""]","[""熠閃舞"", ""朱魂返"", ""怒炎衝""]","[""熠閃舞"", ""朱魂返""]","[""焚身焔""]",アンラン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「熠閃舞、朱魂返の後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはアンラン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,焚身焔を確認してからB.O.Bを出す。,,,,,,,,,,,,,
Genji,10,6,10,5,5,7,2,8,"[""close_or_dive_pressure""]","[""風斬り"", ""木の葉返し"", ""龍撃剣""]","[""木の葉返し後"", ""風斬り後""]","[""木の葉返し後"", ""風斬り後""]","[""木の葉返し"", ""龍撃剣""]",ゲンジ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「木の葉返し後、風斬りで味方へ入った直後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはゲンジ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,木の葉返し、龍撃剣を確認してからB.O.Bを出す。,,,,,,,,,,,,,
Shion,10,6,10,6,5,5,2,7,"[""close_or_dive_pressure""]","[""回避"", ""凶走"", ""罰""]","[""凶走"", ""回避""]","[""回避"", ""凶走""]","[""殺戮"", ""罰""]",シオン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「凶走、回避の後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはシオン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,殺戮、罰を確認してからB.O.Bを出す。,,,,,,,,,,provisional,シオンは実装直後で情報が薄いため、対面評価は暫定です。スキル名は現在実装されている名称に合わせています。,,
Sombra,10,6,10,5,10,7,2,6,"[""close_or_dive_pressure"", ""bob_must_check""]","[""ハック"", ""EMP"", ""トランズロケーター""]","[""トランズロケーター"", ""ステルス"", ""ハック""]","[""ハック"", ""EMP"", ""トランズロケーター""]","[""ハック"", ""EMP""]",ソンブラ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「トランズロケーター後、またはハックを使った直後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはソンブラ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,ハック、EMPを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Tracer,10,6,10,5,5,7,2,8,"[""close_or_dive_pressure""]","[""ブリンク"", ""リコール"", ""パルス・ボム""]","[""リコール後"", ""ブリンクを複数使った後""]","[""リコール後"", ""ブリンクを複数使った後""]","[""リコール"", ""パルス・ボム""]",トレーサー相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「リコール後、またはブリンクを2回以上使ってサポートへ攻撃を仕掛けた瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはトレーサー本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,リコール、パルス・ボムを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Venture,10,7,10,5,5,7,2,7,"[""close_or_dive_pressure""]","[""バロー"", ""ドリル・ダッシュ"", ""テクトニック・ショック""]","[""バロー"", ""ドリル・ダッシュ""]","[""バロー"", ""ドリル・ダッシュ""]","[""バロー"", ""テクトニック・ショック""]",ベンチャー相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「バロー後、ドリル・ダッシュ後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはベンチャー本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,バロー、テクトニック・ショックを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Reaper,8,7,9,6,5,5,6,6,"[""close_or_dive_pressure"", ""cross_target_recalibrated_v41""]","[""レイス・フォーム"", ""シャドウ・ステップ"", ""デス・ブロッサム""]","[""レイス・フォーム"", ""シャドウ・ステップ""]","[""レイス・フォーム"", ""シャドウ・ステップ""]","[""レイス・フォーム"", ""デス・ブロッサム""]",リーパー相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「レイス・フォーム後、またはシャドウ・ステップの着地」。長く覗かず、撃った後は遮蔽へ戻る。,リーパーは接近されると危険だが、アッシュはコーチ・ガンで距離を戻せる。音とルートを見て近づかれる前に削る。,ダイナマイトはリーパー本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,レイス・フォーム、デス・ブロッサムを確認してからB.O.Bを出す。,,,リーパーは接近されると危険だが、アッシュはコーチ・ガンで距離を戻せる。音とルートを見て近づかれる前に削る。,,v41,8,6,接近拒否・高台維持,,,,,
