hero_id,matchup_rating,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.ultimate_check,diagnosis_snippets.positioning,diagnosis_snippets.target_priority
Roadhog,6.6,"[""heavy_frontline"", ""save_sustain""]","[""チェイン・フック"", ""テイク・ア・ブリーザー"", ""チェイン・フック""]","[""チェイン・フック"", ""ピッグペン"", ""テイク・ア・ブリーザー""]","[""チェイン・フック"", ""テイク・ア・ブリーザー""]",ロードホッグには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。チェイン・フック・テイク・ア・ブリーザーを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、チェイン・フック・ピッグペンの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Orisa,6.2,"[""heavy_frontline"", ""save_sustain""]","[""エネルギー・ジャベリン"", ""フォーティファイ"", ""ジャベリン・スピン""]","[""エネルギー・ジャベリン"", ""フォーティファイ"", ""ジャベリン・スピン""]","[""エネルギー・ジャベリン"", ""フォーティファイ"", ""ジャベリン・スピン""]",オリーサには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。エネルギー・ジャベリン・フォーティファイを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、エネルギー・ジャベリン・フォーティファイの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Sigma,4.1,"[""long_range_threat"", ""heavy_frontline"", ""save_sustain""]","[""アクリーション"", ""エクスペリメンタル・バリア"", ""キネティック・グラスプ""]","[""アクリーション"", ""エクスペリメンタル・バリア"", ""キネティック・グラスプ""]","[""アクリーション"", ""エクスペリメンタル・バリア"", ""キネティック・グラスプ""]",シグマには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。アクリーション・エクスペリメンタル・バリアを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、アクリーション・エクスペリメンタル・バリアの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Reinhardt,7.8,"[""heavy_frontline"", ""save_sustain""]","[""アースシャター"", ""バリア・フィールド"", ""チャージ""]","[""チャージ"", ""バリア・フィールド""]","[""アースシャター"", ""バリア・フィールド""]",ラインハルトには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。アースシャター・バリア・フィールドを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、チャージ・バリア・フィールドの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Ashe,3.4,"[""long_range_threat""]","[""B.O.B"", ""ダイナマイト""]","[""コーチ・ガン"", ""ダイナマイト""]","[""B.O.B""]",アッシュには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。B.O.B・ダイナマイトを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、コーチ・ガン・ダイナマイトの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Widowmaker,3.2,"[""long_range_threat""]","[""ウィドウズ・キス"", ""ヴェノム・マイン""]","[""グラップリング・フック"", ""ヴェノム・マイン""]","[""ウィドウズ・キス""]",ウィドウメイカーには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。ウィドウズ・キス・ヴェノム・マインを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、グラップリング・フック・ヴェノム・マインの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Emre,4.0,"[""long_range_threat""]","[""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル"", ""サイバー・フラグ""]","[""オルタード・バイタル"", ""サイバー・フラグ""]","[""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル""]",エムレには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。シンセティック・バースト・ライフル・オーバーライド・プロトコルを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、オルタード・バイタル・サイバー・フラグの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Cassidy,4.3,"[""long_range_threat""]","[""デッド・アイ"", ""フラッシュバン""]","[""コンバット・ロール"", ""フラッシュバン""]","[""デッド・アイ""]",キャスディには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。デッド・アイ・フラッシュバンを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、コンバット・ロール・フラッシュバンの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Sojourn,3.8,"[""dive_threat"", ""long_range_threat""]","[""レールガン"", ""オーバークロック"", ""ディスラプター・ショット""]","[""パワー・スライド"", ""ディスラプター・ショット""]","[""レールガン"", ""オーバークロック""]",ソジョーンには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。レールガン・オーバークロックを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、パワー・スライド・ディスラプター・ショットの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Soldier: 76,3.4,"[""long_range_threat""]","[""タクティカル・バイザー"", ""バイオティック・フィールド"", ""ヘリックス・ロケット""]","[""スプリント"", ""ヘリックス・ロケット"", ""バイオティック・フィールド""]","[""タクティカル・バイザー"", ""バイオティック・フィールド""]",ソルジャー76には正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。タクティカル・バイザー・バイオティック・フィールドを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、スプリント・ヘリックス・ロケットの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Hanzo,4.3,"[""long_range_threat""]","[""龍撃波"", ""電光石火"", ""鳴響矢水""]","[""体術"", ""壁登り"", ""電光石火""]","[""龍撃波""]",ハンゾーには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。龍撃波・電光石火を受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、体術・壁登りの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Freja,2.9,"[""dive_threat"", ""aerial_pressure"", ""long_range_threat""]","[""ボーラ・ショット"", ""ボーラ・ショット"", ""テイク・エイム""]","[""クイック・ダッシュ"", ""アップドラフト"", ""ボーラ・ショット""]","[""ボーラ・ショット""]",フレイヤには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。ボーラ・ショットを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、クイック・ダッシュ・アップドラフトの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Anran,3.0,"[""dive_threat"", ""flank_threat""]","[""焚身焔"", ""怒炎衝"", ""朱羽焚""]","[""熠閃舞"", ""朱魂返"", ""怒炎衝""]","[""焚身焔""]",アンランには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。焚身焔・怒炎衝を受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、熠閃舞・朱魂返の後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Genji,2.6,"[""dive_threat"", ""flank_threat""]","[""龍撃剣"", ""木の葉返し"", ""風斬り""]","[""風斬り"", ""サイバー体術"", ""風斬り""]","[""龍撃剣"", ""木の葉返し""]",ゲンジには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。龍撃剣・木の葉返しを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、風斬り・サイバー体術の後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Shion,2.2,"[""dive_threat"", ""flank_threat""]","[""罰"", ""殺戮"", ""凶走""]","[""回避"", ""凶走"", ""凶走""]","[""罰"", ""殺戮""]",シオンには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。罰・殺戮を受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、回避・凶走の後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Sombra,2.6,"[""dive_threat"", ""flank_threat""]","[""EMP"", ""ハック"", ""EMP""]","[""トランズロケーター"", ""ステルス"", ""ハック""]","[""EMP"", ""ハック"", ""EMP""]",ソンブラには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。EMP・ハックを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、トランズロケーター・ステルスの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Tracer,2.4,"[""dive_threat"", ""flank_threat""]","[""パルス・ボム"", ""リコール"", ""ブリンク""]","[""ブリンク"", ""リコール"", ""ブリンク""]","[""パルス・ボム"", ""リコール""]",トレーサーには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。パルス・ボム・リコールを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、ブリンク・リコールの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Venture,4.9,"[""dive_threat"", ""flank_threat""]","[""テクトニック・ショック"", ""バロー"", ""ドリル・ダッシュ""]","[""バロー"", ""ドリル・ダッシュ"", ""ドリル・ダッシュ""]","[""テクトニック・ショック"", ""バロー""]",ベンチャーには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。テクトニック・ショック・バローを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、バロー・ドリル・ダッシュの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Reaper,5.7,"[""dive_threat"", ""flank_threat""]","[""デス・ブロッサム"", ""レイス・フォーム"", ""シャドウ・ステップ""]","[""レイス・フォーム"", ""シャドウ・ステップ"", ""シャドウ・ステップ""]","[""デス・ブロッサム"", ""レイス・フォーム""]",リーパーには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。デス・ブロッサム・レイス・フォームを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、レイス・フォーム・シャドウ・ステップの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Vendetta,4.1,"[""dive_threat"", ""flank_threat""]","[""サンダリング・ブレード"", ""ウォーディング・スタンス"", ""ワールウィンド""]","[""ソアリング・スライス"", ""ワールウィンド"", ""ソアリング・スライス""]","[""サンダリング・ブレード"", ""ウォーディング・スタンス""]",ヴェンデッタには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。サンダリング・ブレード・ウォーディング・スタンスを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、ソアリング・スライス・ワールウィンドの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Echo,2.7,"[""dive_threat"", ""aerial_pressure""]","[""コピー"", ""スティッキー・ボム"", ""フォーカス・ビーム""]","[""フライト"", ""スティッキー・ボム"", ""フォーカス・ビーム""]","[""コピー""]",エコーには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。コピー・スティッキー・ボムを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、フライト・スティッキー・ボムの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Pharah,2.2,"[""dive_threat"", ""aerial_pressure""]","[""バレッジ"", ""コンカッシブ・ブラスト""]","[""ジャンプ・ジェット"", ""ジェット・ダッシュ"", ""コンカッシブ・ブラスト""]","[""バレッジ""]",ファラには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。バレッジ・コンカッシブ・ブラストを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、ジャンプ・ジェット・ダッシュの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Symmetra,6.1,"[""balanced_pressure""]","[""フォトン・バリア"", ""フォトン・バリア"", ""セントリー・タレット""]","[""テレポーター"", ""セントリー・タレット"", ""テレポーター""]","[""フォトン・バリア"", ""フォトン・バリア""]",シンメトラには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。フォトン・バリアを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、テレポーター・セントリー・タレットの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Junkrat,5.0,"[""balanced_pressure""]","[""RIPタイヤ"", ""スティール・トラップ"", ""コンカッション・マイン""]","[""コンカッション・マイン"", ""スティール・トラップ"", ""コンカッション・マイン""]","[""RIPタイヤ""]",ジャンクラットには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。RIPタイヤ・スティール・トラップを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、コンカッション・マイン・スティール・トラップの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Torbjörn,6.1,"[""balanced_pressure""]","[""モルテン・コア"", ""オーバーロード"", ""タレット""]","[""タレット"", ""オーバーロード""]","[""モルテン・コア"", ""オーバーロード""]",トールビョーンには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。モルテン・コア・オーバーロードを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、タレット・オーバーロードの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Bastion,5.9,"[""long_range_threat""]","[""砲台モード"", ""強襲モード"", ""A-36タクティカル・グレネード""]","[""強襲モード"", ""A-36タクティカル・グレネード""]","[""砲台モード""]",バスティオンには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。砲台モード・強襲モードを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、強襲モード・A-36タクティカル・グレネードの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Mei,6.8,"[""save_sustain""]","[""ブリザード"", ""クリオフリーズ"", ""アイス・ウォール""]","[""アイス・ウォール"", ""クリオフリーズ"", ""アイス・ウォール""]","[""ブリザード"", ""アイス・ウォール"", ""クリオフリーズ""]",メイには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。ブリザード・クリオフリーズを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、アイス・ウォール・クリオフリーズの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Illari,4.1,"[""long_range_threat""]","[""キャプティブ・サン"", ""ヒーリング・パイロン"", ""アウトバースト""]","[""アウトバースト"", ""アウトバースト"", ""ヒーリング・パイロン""]","[""キャプティブ・サン"", ""ヒーリング・パイロン""]",イラリーには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。キャプティブ・サン・ヒーリング・パイロンを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、アウトバーストの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Jetpack Cat,2.6,"[""dive_threat"", ""aerial_pressure"", ""save_sustain""]","[""キャットナッパー"", ""ゴロゴロ"", ""キャットナッパー""]","[""ワイルド・フライト"", ""キャットナッパー"", ""ワイルド・フライト""]","[""キャットナッパー"", ""ゴロゴロ""]",ジェットパック・キャットには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。キャットナッパー・ゴロゴロを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、ワイルド・フライト・キャットナッパーの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Juno,3.3,"[""dive_threat"", ""aerial_pressure"", ""save_sustain""]","[""オービタル・レイ"", ""ハイパーリング"", ""オービタル・レイ""]","[""グライド・ブースト"", ""パルサー・トーピード"", ""ハイパーリング""]","[""オービタル・レイ"", ""ハイパーリング"", ""オービタル・レイ""]",ジュノには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。オービタル・レイ・ハイパーリングを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、グライド・ブースト・パルサー・トーピードの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Baptiste,5.0,"[""long_range_threat"", ""save_sustain""]","[""アンプリフィケーション・マトリックス"", ""イモータリティ・フィールド"", ""イモータリティ・フィールド""]","[""イモータリティ・フィールド"", ""イモータリティ・フィールド"", ""リジェネ・バースト""]","[""アンプリフィケーション・マトリックス"", ""イモータリティ・フィールド"", ""リジェネ・バースト""]",バティストには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。アンプリフィケーション・マトリックス・イモータリティ・フィールドを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、イモータリティ・フィールドの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Mercy,3.4,"[""dive_threat"", ""aerial_pressure"", ""save_sustain""]","[""ヴァルキリー"", ""蘇生"", ""ガーディアン・エンジェル""]","[""ガーディアン・エンジェル"", ""蘇生"", ""ガーディアン・エンジェル""]","[""ヴァルキリー"", ""蘇生"", ""ガーディアン・エンジェル""]",マーシーには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。ヴァルキリー・蘇生を受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、ガーディアン・エンジェル・蘇生の後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Lifeweaver,5.5,"[""save_sustain""]","[""命の樹"", ""ライフグリップ"", ""ライフグリップ""]","[""ペタル・プラットフォーム"", ""若返りの風"", ""ライフグリップ""]","[""命の樹"", ""ライフグリップ"", ""ペタル・プラットフォーム""]",ライフウィーバーには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。命の樹・ライフグリップを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、ペタル・プラットフォーム・若返りの風の後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Kiriko,4.4,"[""dive_threat"", ""save_sustain""]","[""狐走り"", ""鈴のご加護"", ""鈴のご加護""]","[""神出鬼没"", ""鈴のご加護"", ""鈴のご加護""]","[""狐走り"", ""鈴のご加護"", ""神出鬼没""]",キリコには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。狐走り・鈴のご加護を受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、神出鬼没・鈴のご加護の後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Brigitte,6.3,"[""save_sustain""]","[""ラリー"", ""バリア・シールド"", ""ラリー""]","[""シールド・バッシュ"", ""ウィップ・ショット"", ""バリア・シールド""]","[""ラリー"", ""リペア・パック"", ""ラリー""]",ブリギッテには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。ラリー・バリア・シールドを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、シールド・バッシュ・ウィップ・ショットの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Moira,4.6,"[""dive_threat"", ""save_sustain""]","[""コアレッセンス"", ""フェード"", ""バイオティック・オーブ""]","[""フェード"", ""バイオティック・オーブ"", ""フェード""]","[""コアレッセンス"", ""フェード""]",モイラには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。コアレッセンス・フェードを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、フェード・バイオティック・オーブの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Lúcio,3.8,"[""dive_threat"", ""save_sustain""]","[""サウンド・バリア"", ""サウンド・バリア"", ""サウンドウェーブ""]","[""ウォール・ライド"", ""サウンドウェーブ"", ""アンプ・イット・アップ""]","[""サウンド・バリア"", ""サウンド・バリア""]",ルシオには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。サウンド・バリアを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、ウォール・ライド・サウンドウェーブの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Ana,5.8,"[""long_range_threat"", ""save_sustain""]","[""ナノ・ブースト"", ""スリープ・ダーツ"", ""スリープ・ダーツ""]","[""スリープ・ダーツ"", ""バイオティック・グレネード"", ""スリープ・ダーツ""]","[""ナノ・ブースト"", ""スリープ・ダーツ""]",アナには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。ナノ・ブースト・スリープ・ダーツを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、スリープ・ダーツ・バイオティック・グレネードの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Wuyang,4.5,"[""save_sustain""]","[""守衛波浪"", ""養神泉"", ""驚濤破""]","[""飛流歩"", ""玄武之杖"", ""驚濤破""]","[""守衛波浪"", ""養神泉"", ""驚濤破""]",ウーヤンには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。守衛波浪・養神泉を受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、飛流歩・玄武之杖の後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
