hero_id,symmetra_comp_stats.threat_symmetra,symmetra_comp_stats.beam_charge_value,symmetra_comp_stats.sentry_turret_value,symmetra_comp_stats.teleporter_value,symmetra_comp_stats.photon_barrier_denial,symmetra_comp_stats.close_space_value,symmetra_comp_stats.matchup_rating,symmetra_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.photon_barrier_check,key_enemy_skills.beam_advantage,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.sombra_hack_note,diagnosis_snippets.cross_target_note,diagnosis_snippets.beam_policy,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,symmetra_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.diff_points,cross_target_recalibration,torbjorn_reassessment_note
Reinhardt,6,8,5,5,5,8,8,6,"[""frontline_charge_target"", ""barrier_ammo_favorable""]","[""バリア・フィールド"", ""チャージ"", ""アース・シャター""]","[""チャージ後"", ""バリア・フィールド消耗後""]","[""アース・シャター"", ""バリア・フィールド""]","[""バリアを撃ってビームを維持する""]",ラインハルト相手はバリアやシールドを撃てる時間がビーム維持の好機になる。フォトン・プロジェクターを無理に本体へ当てに行かず、遮蔽を使って安全にビームを育ててから前線へ圧を出す。,射程に入った瞬間、または前線スキル使用後,フォトン・バリアはラインハルトが前へ押すタイミングで、敵後衛の射線と前線を分けるために使う。アース・シャター、バリア・フィールドを確認してから、味方が前に出られる向きへ置く。,,,,,,,,,,,,,
Ramattra,6,8,5,5,5,8,8,6,"[""frontline_charge_target"", ""long_sightline_threat"", ""barrier_ammo_favorable""]","[""ヴォイド・バリア"", ""ブロック"", ""アナイアレーション""]","[""ネメシス・フォーム"", ""貪欲な渦"", ""ヴォイド・バリア""]","[""ヴォイド・バリア"", ""ブロック"", ""アナイアレーション""]","[""バリアを撃ってビームを維持する""]",ラマットラ相手はバリアやシールドを撃てる時間がビーム維持の好機になる。フォトン・プロジェクターを無理に本体へ当てに行かず、遮蔽を使って安全にビームを育ててから前線へ圧を出す。,射程に入った瞬間、または前線スキル使用後,フォトン・バリアはラマットラが前へ押すタイミングで、敵後衛の射線と前線を分けるために使う。ヴォイド・バリア、ブロック、アナイアレーションを確認してから、味方が前に出られる向きへ置く。,,,,,,,,,,,,,
Wrecking Ball,7,5,8,7,6,5,4,7,"[""mobility_threat""]","[""アダプティブ・シールド"", ""グラップリング・クロー"", ""ロール""]","[""グラップリング・クロー"", ""パイルドライバー"", ""ロール""]","[""アダプティブ・シールド"", ""パイルドライバー"", ""グラップリング・クロー""]",,レッキング・ボールが飛び込むダイブ経路にセントリー・タレットを置き、入ってきた瞬間だけフォトン・プロジェクターを当てる。追いかけるより、味方後衛へ仕掛ける経路を塞ぐ。,グラップリング・クロー、味方後衛へ仕掛けた瞬間,フォトン・バリアはレッキング・ボールの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。アダプティブ・シールド、パイルドライバー、グラップリング・クローを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Roadhog,6,8,5,5,5,8,7,6,"[""frontline_charge_target""]","[""チェイン・フック""]","[""チェイン・フック"", ""ピッグペン""]","[""チェイン・フック""]",,ロードホッグ相手は近距離のダイブ経路が主戦場。射程に入った瞬間にフォトン・プロジェクターを当て続け、危なくなる前にテレポーターで位置を変える。,射程に入った瞬間、または前線スキル使用後,フォトン・バリアはロードホッグが前へ押すタイミングで、敵後衛の射線と前線を分けるために使う。チェイン・フックを確認してから、味方が前に出られる向きへ置く。,,,,,,,,,,,,,
Ashe,8,3,5,9,8,3,3,8,"[""long_sightline_threat"", ""cross_target_recalibrated_v41""]","[""コーチ・ガン"", ""B.O.B""]","[""ダイナマイト"", ""コーチ・ガン""]","[""B.O.B"", ""コーチ・ガン""]",,アッシュの長い射線には正面から付き合わない。テレポーターで危険な通路を短縮し、遮蔽からチャージ・オーブで圧をかける。,長い射線を構えた瞬間、または遮蔽から顔を出した瞬間,フォトン・バリアはアッシュの長い射線を切り、味方が安全に前へ出るために使う。B.O.B、コーチ・ガンを意識して、ただの自衛ではなく射線分断に使う。,,アッシュの高台と長い射線が厳しい。シンメトラはフォトン・バリアかテレポーターで射線を切ってから進む。,ビーム距離まで届きにくい相手。フォトン・バリアとテレポーターで射線を切る。,v41,8,3,長い射線回避,,,,,,
Anran,8,5,8,7,5,5,4,7,"[""mobility_threat""]","[""熠閃舞"", ""朱魂返"", ""焚身焔""]","[""怒炎衝"", ""朱羽焚"", ""熠閃舞""]","[""焚身焔"", ""熠閃舞"", ""朱魂返""]",,アンランは正面より横や後ろから来る。セントリー・タレットを味方後衛の近くと自分の退路に置き、接近が見えた瞬間だけビームかオーブで迎撃する。,怒炎衝、味方後衛へ仕掛けた瞬間,フォトン・バリアはアンランの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。焚身焔、熠閃舞、朱魂返を確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Widowmaker,8,3,5,8,8,4,2,6,"[""long_sightline_threat""]","[""グラップリング・フック"", ""ウィドウズ・キス""]","[""ヴェノム・マイン"", ""グラップリング・フック""]","[""ウィドウズ・キス"", ""グラップリング・フック""]",,ウィドウメイカーの長い射線には正面から付き合わない。テレポーターで危険な通路を短縮し、遮蔽からチャージ・オーブで圧をかける。,長い射線を構えた瞬間、または遮蔽から顔を出した瞬間,フォトン・バリアはウィドウメイカーの長い射線を切り、味方が安全に前へ出るために使う。ウィドウズ・キス、グラップリング・フックを意識して、ただの自衛ではなく射線分断に使う。,,,,,,,,,,,,,
Echo,8,3,4,5,6,5,2,7,"[""air_pressure""]","[""フライト"", ""フォーカス・ビーム"", ""コピー""]","[""フライト後"", ""低空移動中""]","[""コピー"", ""フライト""]",,エコーを空中で追い続けず、低空・着地・味方への接近を狙う。地上の敵にセントリー・タレットで負荷をかけ、空を見る時間を作る。,低空移動、着地、サポートの射線から外れた瞬間,フォトン・バリアはエコーの空中射線を切り、地上の味方が崩れない時間を作る。コピー、フライトを見てから、空だけでなく地上の射線も分断する。,,,,,,,,,,,,,
Emre,8,3,5,8,8,4,3,6,"[""long_sightline_threat""]","[""オルタード・バイタル"", ""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル""]","[""サイバー・フラグ"", ""オルタード・バイタル""]","[""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル"", ""オルタード・バイタル""]",,エムレの長い射線には正面から付き合わない。テレポーターで危険な通路を短縮し、遮蔽からチャージ・オーブで圧をかける。,長い射線を構えた瞬間、または遮蔽から顔を出した瞬間,フォトン・バリアはエムレの長い射線を切り、味方が安全に前へ出るために使う。シンセティック・バースト・ライフル、オーバーライド・プロトコル、オルタード・バイタルを意識して、ただの自衛ではなく射線分断に使う。,,,,,,,,,,,,,
Cassidy,7,4,6,8,7,4,3,7,"[""long_sightline_threat"", ""cross_target_recalibrated_v41""]","[""コンバット・ロール"", ""デッド・アイ""]","[""フラッシュバン"", ""コンバット・ロール""]","[""デッド・アイ"", ""コンバット・ロール""]",,キャスディの長い射線には正面から付き合わない。テレポーターで危険な通路を短縮し、遮蔽からチャージ・オーブで圧をかける。,長い射線を構えた瞬間、または遮蔽から顔を出した瞬間,フォトン・バリアはキャスディの長い射線を切り、味方が安全に前へ出るために使う。デッド・アイ、コンバット・ロールを意識して、ただの自衛ではなく射線分断に使う。,,キャスディの中距離火力とフラッシュバンが危険。シンメトラは正面から詰めず、セントリー・タレットで側面ルートを管理する。,ビーム距離に入れれば戦えるが、フラッシュバンが残っている間は正面から詰めない。,v41,7,3,近距離迎撃警戒,,,,,,
Genji,7,8,8,7,5,5,7,8,"[""mobility_threat"", ""projectile_defense_ignored_by_beam"", ""beam_counterexample_core""]","[""風斬り"", ""木の葉返し"", ""龍撃剣""]","[""木の葉返し後"", ""風斬り後""]","[""風斬り"", ""木の葉返し"", ""龍撃剣""]","[""木の葉返し中もビームを当てる""]",ゲンジは接近力が高いが、木の葉返しではフォトン・プロジェクターを反射しにくい。側面ルートをセントリー・タレットで見て、近づいた瞬間はビームで受ける。,風斬り後、味方後衛へ仕掛けた瞬間,フォトン・バリアはゲンジの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。木の葉返し、龍撃剣、風斬りを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Shion,8,5,8,7,5,5,4,7,"[""mobility_threat"", ""provisional_assessment""]","[""回避"", ""凶走"", ""罰""]","[""凶走"", ""回避""]","[""罰"", ""殺戮"", ""回避""]",,シオンは正面より横や後ろから来る。セントリー・タレットを味方後衛の近くと自分の退路に置き、接近が見えた瞬間だけビームかオーブで迎撃する。,凶走、味方後衛へ仕掛けた瞬間,フォトン・バリアはシオンの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。罰、殺戮、回避を確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Symmetra,7,9,8,8,7,8,5,6,"[""area_control"", ""cross_target_recalibrated_v41"", ""mirror_matchup_v41""]","[""セントリー・タレット"", ""テレポーター"", ""フォトン・バリア""]","[""テレポーター"", ""セントリー・タレット""]","[""フォトン・バリア"", ""テレポーター""]",,シンメトラ相手は設置物と閉所管理の勝負。セントリー・タレットを同じ場所に固めすぎず、ダイブ経路・退路・側面ルートに分けて置く。,遮蔽から出た瞬間、または重要スキル使用後,フォトン・バリアはシンメトラが前へ押すタイミングで、敵後衛の射線と前線を分けるために使う。フォトン・バリア、テレポーターを確認してから、味方が前に出られる向きへ置く。,,シンメトラミラーは、先にビーム段階を上げた側が強い。セントリー・タレットでダイブ経路と退路を見て、テレポーターを先に壊されたら正面ビーム戦を避ける。,相手が先にビーム段階を上げている時は、正面で撃ち合わずチャージ・オーブと遮蔽で時間を作る。,v41,7,5,ビーム段階・タレット差,True,シンメトラミラーは、先にビーム段階を上げた側が強い。セントリー・タレットでダイブ経路と退路を見て、テレポーターを先に壊されたら正面ビーム戦を避ける。,先にビーム段階を上げる / セントリー・タレットでダイブ経路と退路を見る / テレポーターを壊されたら正面勝負を避ける,"[""先にビーム段階を上げる"", ""セントリー・タレットでダイブ経路と退路を見る"", ""テレポーターを壊されたら正面勝負を避ける""]",,
Junkrat,6,5,6,5,6,6,5,5,"[""area_control""]","[""コンカッション・マイン"", ""RIPタイヤ""]","[""スティール・トラップ"", ""コンカッション・マイン""]","[""RIPタイヤ"", ""コンカッション・マイン""]",,ジャンクラット相手は設置物と閉所管理の勝負。セントリー・タレットを同じ場所に固めすぎず、ダイブ経路・退路・側面ルートに分けて置く。,遮蔽から出た瞬間、または重要スキル使用後,フォトン・バリアはジャンクラットが前へ押すタイミングで、敵後衛の射線と前線を分けるために使う。RIPタイヤ、コンカッション・マインを確認してから、味方が前に出られる向きへ置く。,,,,,,,,,,,,,
Sojourn,8,3,5,9,8,3,3,8,"[""long_sightline_threat"", ""cross_target_recalibrated_v41""]","[""パワー・スライド"", ""レールガン"", ""オーバークロック""]","[""ディスラプター・ショット"", ""パワー・スライド""]","[""レールガン"", ""オーバークロック"", ""パワー・スライド""]",,ソジョーンの長い射線には正面から付き合わない。テレポーターで危険な通路を短縮し、遮蔽からチャージ・オーブで圧をかける。,長い射線を構えた瞬間、または遮蔽から顔を出した瞬間,フォトン・バリアはソジョーンの長い射線を切り、味方が安全に前へ出るために使う。レールガン、オーバークロック、パワー・スライドを意識して、ただの自衛ではなく射線分断に使う。,,ソジョーンのレールガンが厳しい。シンメトラは正面から正面で撃ち合わず、テレポーターで危険な通路を短縮する。,ビーム仕様より射線回避が優先。レールガンを受ける通路を歩いて渡らない。,v41,8,3,長い射線回避,,,,,,
Soldier: 76,7,4,6,8,6,4,4,6,"[""long_sightline_threat"", ""cross_target_recalibrated_v41""]","[""スプリント"", ""タクティカル・バイザー""]","[""ヘリックス・ロケット"", ""スプリント""]","[""タクティカル・バイザー"", ""スプリント""]",,ソルジャー76の長い射線には正面から付き合わない。テレポーターで危険な通路を短縮し、遮蔽からチャージ・オーブで圧をかける。,長い射線を構えた瞬間、または遮蔽から顔を出した瞬間,フォトン・バリアはソルジャー76の長い射線を切り、味方が安全に前へ出るために使う。タクティカル・バイザー、スプリントを意識して、ただの自衛ではなく射線分断に使う。,,ソルジャー76の中距離火力が危険。シンメトラは歩いて近づかず、テレポーターと遮蔽でビーム距離を作る。,ビームで押す距離に入るまでは不利。遮蔽とテレポーターで距離を詰める。,v41,7,4,距離不利・テレポーター展開,,,,,,
Sombra,8,4,7,6,4,5,5,7,"[""mobility_threat"", ""sombra_hack_cast_start"", ""sombra_hack_confirmed""]","[""ハック"", ""EMP"", ""トランズロケーター""]","[""ハック開始"", ""トランズロケーター後"", ""ステルス解除""]","[""ハック"", ""EMP"", ""トランズロケーター""]",,ソンブラにはハック開始時と成立後で行動を分ける。開始時はフォトン・プロジェクターか溜め済みのオーブで中断を狙い、成立したらテレポーターやセントリー・タレットの追加設置に頼らず遮蔽へ戻る。,ハックの線が見えた瞬間、またはトランズロケーター後に再出現した瞬間,フォトン・バリアはハック成立後には使えない。ハック開始時は中断か遮蔽切りを優先し、EMPを見た後に味方が戦える射線を作る。,ハック開始時はフォトン・プロジェクターか溜め済みのオーブで中断を狙い、成立後はセントリー・タレット・テレポーター・フォトン・バリアを使えない前提で遮蔽へ戻る。,,,,,,,,,,,,
Tracer,8,5,9,7,5,5,4,8,"[""mobility_threat""]","[""ブリンク"", ""リコール"", ""パルス・ボム""]","[""リコール後"", ""ブリンクを複数使った後""]","[""ブリンク"", ""リコール"", ""パルス・ボム""]",,トレーサーは正面より横や後ろから来る。セントリー・タレットを味方後衛の近くと自分の退路に置き、接近が見えた瞬間だけビームかオーブで迎撃する。,ブリンク、味方後衛へ仕掛けた瞬間,フォトン・バリアはトレーサーの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。リコール、パルス・ボム、ブリンクを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Torbjörn,6,5,6,5,6,6,5,5,"[""area_control""]","[""オーバーロード"", ""モルテン・コア""]","[""タレット"", ""オーバーロード""]","[""オーバーロード"", ""モルテン・コア""]",,トールビョーン相手は設置物と閉所管理の勝負。セントリー・設置済みタレットを同じ場所に固めすぎず、ダイブ経路・退路・側面ルートに分けて置く。,遮蔽から出た瞬間、または重要スキル使用後,フォトン・バリアはトールビョーンが前へ押すタイミングで、敵後衛の射線と前線を分けるために使う。オーバーロード、モルテン・コアを確認してから、味方が前に出られる向きへ置く。,,,,,,,,,,,,v47_torbjorn_db_applied,トールビョーンDB v1統合時に、タレット設置・オーバーロード・モルテン・コアの表記と確認タイミングを再点検。
Hanzo,8,3,6,9,8,3,3,8,"[""long_sightline_threat"", ""cross_target_recalibrated_v41""]","[""体術"", ""壁登り"", ""龍撃波""]","[""電光石火"", ""鳴響矢水"", ""体術""]","[""龍撃波"", ""体術"", ""壁登り""]",,ハンゾーの長い射線には正面から付き合わない。テレポーターで危険な通路を短縮し、遮蔽からチャージ・オーブで圧をかける。,長い射線を構えた瞬間、または遮蔽から顔を出した瞬間,フォトン・バリアはハンゾーの長い射線を切り、味方が安全に前へ出るために使う。龍撃波、体術、壁登りを意識して、ただの自衛ではなく射線分断に使う。,,ハンゾーの一発が危険。シンメトラは同じ射線でチャージ・オーブを繰り返さず、フォトン・バリアで射線を分断する。,ビーム距離まで届きにくい相手。フォトン・バリアで射線を分断し、チャージ・オーブで動かす。,v41,8,3,一撃警戒・射線分断,,,,,,
Bastion,6,5,6,5,6,6,5,5,"[""area_control""]","[""砲台モード""]","[""強襲モード"", ""A-36タクティカル・グレネード""]","[""砲台モード""]",,バスティオン相手は設置物と閉所管理の勝負。セントリー・タレットを同じ場所に固めすぎず、ダイブ経路・退路・側面ルートに分けて置く。,遮蔽から出た瞬間、または重要スキル使用後,フォトン・バリアはバスティオンが前へ押すタイミングで、敵後衛の射線と前線を分けるために使う。砲台モードを確認してから、味方が前に出られる向きへ置く。,,,,,,,,,,,,,
Pharah,8,3,4,5,6,5,2,7,"[""air_pressure""]","[""ジャンプ・ジェット"", ""ホバー・ジェット"", ""バレッジ""]","[""着地後"", ""低空移動中""]","[""バレッジ"", ""ジャンプ・ジェット""]",,ファラを空中で追い続けず、低空・着地・味方への接近を狙う。地上の敵にセントリー・タレットで負荷をかけ、空を見る時間を作る。,低空移動、着地、サポートの射線から外れた瞬間,フォトン・バリアはファラの空中射線を切り、地上の味方が崩れない時間を作る。バレッジ、ジャンプ・ジェットを見てから、空だけでなく地上の射線も分断する。,,,,,,,,,,,,,
Freja,10,1,4,8,9,4,1,8,"[""long_sightline_threat"", ""air_pressure""]","[""クイック・ダッシュ"", ""アップドラフト"", ""ボーラ・ショット""]","[""ボーラ・ショット"", ""テイク・エイム"", ""クイック・ダッシュ""]","[""ボーラ・ショット"", ""クイック・ダッシュ"", ""アップドラフト""]",,フレイヤの長い射線には正面から付き合わない。テレポーターで危険な通路を短縮し、遮蔽からチャージ・オーブで圧をかける。,長い射線を構えた瞬間、または遮蔽から顔を出した瞬間,フォトン・バリアはフレイヤの長い射線を切り、味方が安全に前へ出るために使う。ボーラ・ショット、クイック・ダッシュ、アップドラフトを意識して、ただの自衛ではなく射線分断に使う。,,,,,,,,,,,,,
Venture,8,5,8,7,5,5,4,7,"[""mobility_threat""]","[""バロー"", ""ドリル・ダッシュ"", ""テクトニック・ショック""]","[""ドリル・ダッシュ"", ""バロー""]","[""バロー"", ""テクトニック・ショック"", ""ドリル・ダッシュ""]",,ベンチャーは正面より横や後ろから来る。セントリー・タレットを味方後衛の近くと自分の退路に置き、接近が見えた瞬間だけビームかオーブで迎撃する。,ドリル・ダッシュ、味方後衛へ仕掛けた瞬間,フォトン・バリアはベンチャーの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。バロー、テクトニック・ショック、ドリル・ダッシュを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Mei,6,5,6,5,6,6,5,5,"[""area_control""]","[""クリオフリーズ"", ""アイス・ウォール"", ""ブリザード""]","[""アイス・ウォール"", ""クリオフリーズ""]","[""クリオフリーズ"", ""アイス・ウォール"", ""ブリザード""]",,メイ相手は設置物と閉所管理の勝負。セントリー・タレットを同じ場所に固めすぎず、ダイブ経路・退路・側面ルートに分けて置く。,遮蔽から出た瞬間、または重要スキル使用後,フォトン・バリアはメイが前へ押すタイミングで、敵後衛の射線と前線を分けるために使う。クリオフリーズ、アイス・ウォール、ブリザードを確認してから、味方が前に出られる向きへ置く。,,,,,,,,,,,,,
Reaper,8,6,9,7,5,5,4,7,"[""mobility_threat"", ""cross_target_recalibrated_v41""]","[""レイス・フォーム"", ""シャドウ・ステップ"", ""デス・ブロッサム""]","[""シャドウ・ステップ"", ""レイス・フォーム""]","[""レイス・フォーム"", ""デス・ブロッサム"", ""シャドウ・ステップ""]",,リーパーは正面より横や後ろから来る。セントリー・タレットを味方後衛の近くと自分の退路に置き、接近が見えた瞬間だけビームかオーブで迎撃する。,シャドウ・ステップ、味方後衛へ仕掛けた瞬間,フォトン・バリアはリーパーの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。レイス・フォーム、デス・ブロッサム、シャドウ・ステップを確認し、ただ延命するだけで終わらせない。,,リーパーは近距離でシンメトラを倒し切りやすい。ダイブ経路と退路にセントリー・タレットを置き、接近を早めに見る。,ビームで戦える距離だが、リーパーの瞬間火力も高い。ダイブ経路と退路のセントリー・タレットで先に見る。,v41,8,4,近距離警戒・ダイブ経路管理,,,,,,
