hero_id,cassidy_comp_stats.threat_cassidy,cassidy_comp_stats.flashbang_value,cassidy_comp_stats.roll_pressure,cassidy_comp_stats.peacemaker_value,cassidy_comp_stats.deadeye_denial,cassidy_comp_stats.peel_value,cassidy_comp_stats.matchup_rating,cassidy_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.deadeye_check,key_enemy_skills.flashbang_target,diagnosis_snippets.positioning,diagnosis_snippets.target_priority,diagnosis_snippets.flashbang_policy,diagnosis_snippets.deadeye_condition,diagnosis_snippets.forbidden,diagnosis_snippets.cross_target_note,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,cassidy_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.diff_points,source_status,provisional_note,cross_target_recalibration,torbjorn_reassessment_note
Roadhog,7,6,7,9,4,5,6,6,"[""frontline_farm""]","[""チェイン・フック"", ""テイク・ア・ブリーザー"", ""ピッグペン""]","[""チェイン・フック"", ""テイク・ア・ブリーザー"", ""ピッグペン""]","[""テイク・ア・ブリーザー"", ""チェイン・フック""]","[""チェイン・フック後"", ""ピッグペン""]",ロードホッグの正面に立ち続けず、味方サポートを守れる遮蔽から撃つ。,弾を当てやすいエネルギー源。撃つ価値はあるが、サポートが見えたら即座に照準を移す。,正面タンクへの先投げは避ける。味方サポートへ入った相手、または退路が限られた近距離だけに使う。,テイク・ア・ブリーザー、チェイン・フックを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,タンクだけを撃って弾倉を空にしない。ピースキーパーのリロードタイミングを遮蔽裏に置く。,,,,,,,,,,,,,
Orisa,5,4,4,10,5,4,6,5,"[""cover_duel"", ""frontline_farm""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]","[""ジャベリン・スピン後"", ""エネルギー・ジャベリン""]",オリーサの正面に立ち続けず、味方サポートを守れる遮蔽から撃つ。,弾を当てやすいエネルギー源。撃つ価値はあるが、サポートが見えたら即座に照準を移す。,正面タンクへの先投げは避ける。味方サポートへ入った相手、または退路が限られた近距離だけに使う。,フォーティファイ、ジャベリン・スピン、エネルギー・ジャベリンを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,タンクだけを撃って弾倉を空にしない。ピースキーパーのリロードタイミングを遮蔽裏に置く。,,,,,,,,,,,,,
Sigma,6,3,4,9,10,3,4,6,"[""cover_duel"", ""deadeye_must_check"", ""frontline_farm""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""アクリーション""]","[""キネティック・グラスプ"", ""アクリーション"", ""エクスペリメンタル・バリア""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""アクリーション""]","[""アクリーション後""]",シグマが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻る。,弾を当てやすいエネルギー源。撃つ価値はあるが、サポートが見えたら即座に照準を移す。,フラッシュバンは接近時の保険。遠距離では無理に狙わず、遮蔽からピースキーパーを1発ずつ撃つ。,エクスペリメンタル・バリア、キネティック・グラスプ、アクリーションを確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,敵の防御・救助アビリティが残ったままデッド・アイを正面で撃たない。,,,,,,,,,,,,,
Reinhardt,5,6,6,10,8,5,6,7,"[""deadeye_must_check"", ""frontline_farm""]","[""バリア・フィールド"", ""チャージ"", ""アースシャター""]","[""バリア・フィールド"", ""チャージ""]","[""バリア・フィールド"", ""アースシャター""]","[""チャージ後"", ""バリア・フィールドを下げた瞬間""]",ラインハルトの正面に立ち続けず、味方サポートを守れる遮蔽から撃つ。,弾を当てやすいエネルギー源。撃つ価値はあるが、サポートが見えたら即座に照準を移す。,正面タンクへの先投げは避ける。味方サポートへ入った相手、または退路が限られた近距離だけに使う。,バリア・フィールド、アースシャターを確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,敵の防御・救助アビリティが残ったままデッド・アイを正面で撃たない。,,,,,,,,,,,,,
Ashe,7,3,5,6,4,2,5,6,"[""cover_duel"", ""cross_target_recalibrated_v41""]","[""ダイナマイト"", ""コーチ・ガン"", ""B.O.B""]","[""コーチ・ガン"", ""ダイナマイト""]","[""コーチ・ガン"", ""B.O.B""]","[""コーチ・ガン後"", ""ダイナマイト""]",アッシュが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻る。,アッシュの得意距離で見合わない。キャスディは遮蔽を刻み、ダイナマイト後に中距離へ入ってピースキーパーを当てる。,フラッシュバンは接近時の保険。遠距離では無理に狙わず、遮蔽からピースキーパーを1発ずつ撃つ。,コーチ・ガン、B.O.Bを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,長距離で同じ場所から連続ピークしない。1発受けたら必ず位置を変える。,アッシュの得意距離で見合わない。キャスディは遮蔽を刻み、ダイナマイト後に中距離へ入ってピースキーパーを当てる。,v41,7,5,長い射線回避,,,,,,,,
Widowmaker,9,2,6,5,3,2,3,4,"[""dive_or_close_pressure"", ""cover_duel""]","[""ウィドウズ・キス"", ""グラップリング・フック"", ""ヴェノム・マイン""]","[""グラップリング・フック"", ""ヴェノム・マイン""]","[""グラップリング・フック"", ""ウィドウズ・キス""]","[""近距離に降りた瞬間"", ""ヴェノム・マイン"", ""グラップリング・フック""]",ウィドウメイカーが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻る。,直接の長距離デュエルは避け、味方が射線を切らせた瞬間に中距離で撃つ。,フラッシュバンは接近時の保険。遠距離では無理に狙わず、遮蔽からピースキーパーを1発ずつ撃つ。,グラップリング・フック、ウィドウズ・キスを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,長距離で同じ場所から連続ピークしない。1発受けたら必ず位置を変える。,,,,,,,,,,,,,
Emre,6,4,5,6,4,5,5,5,"[""cover_duel""]","[""シンセティック・バースト・ライフル"", ""サイバー・フラグ""]","[""サイバー・フラグ"", ""シンセティック・バースト・ライフル""]","[""近距離の射線展開後"", ""サイバー・フラグ""]",エムレが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻る。,直接の長距離デュエルは避け、味方が射線を切らせた瞬間に中距離で撃つ。,フラッシュバンは接近時の保険。遠距離では無理に狙わず、遮蔽からピースキーパーを1発ずつ撃つ。,サイバー・フラグ、シンセティック・バースト・ライフルを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,長距離で同じ場所から連続ピークしない。1発受けたら必ず位置を変える。,,,,,,,,,,,,,,
Cassidy,7,8,7,7,6,4,5,6,"[""cover_duel"", ""cross_target_recalibrated_v41"", ""mirror_matchup_v41""]","[""フラッシュバン"", ""コンバット・ロール"", ""デッド・アイ""]","[""フラッシュバン"", ""コンバット・ロール""]","[""フラッシュバン"", ""遮蔽位置""]","[""コンバット・ロール後"", ""遮蔽から離れた瞬間""]",キャスディの得意距離に長く立たず、遮蔽からピースキーパーを当てる。,キャスディミラーは、フラッシュバン圏内に先に入った側が危険。遮蔽から1発撃って戻り、コンバット・ロールを前進ではなく再ピークとリロードに使う。,フラッシュバンは先投げしない。接近が確定した時、逃げ先が限られた時、味方を守る時だけ使う。,フラッシュバン、デッド・アイ、コンバット・ロールを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,キャスディミラーは、フラッシュバン圏内に先に入った側が危険。遮蔽から1発撃って戻り、コンバット・ロールを前進ではなく再ピークとリロードに使う。,v41,7,5,フラッシュバン圏内管理,True,キャスディミラーは、フラッシュバン圏内に先に入った側が危険。遮蔽から1発撃って戻り、コンバット・ロールを前進ではなく再ピークとリロードに使う。,フラッシュバン圏内に先に入らない / コンバット・ロールを遮蔽復帰に残す / 1発ごとに遮蔽へ戻る,"[""フラッシュバン圏内に先に入らない"", ""コンバット・ロールを遮蔽復帰に残す"", ""1発ごとに遮蔽へ戻る""]",,,,
Sojourn,8,5,7,5,5,3,4,7,"[""dive_or_close_pressure"", ""cover_duel"", ""cross_target_recalibrated_v41""]","[""レールガン"", ""パワー・スライド"", ""ディスラプター・ショット"", ""オーバークロック""]","[""パワー・スライド"", ""ディスラプター・ショット""]","[""パワー・スライド"", ""レールガン"", ""オーバークロック""]","[""パワー・スライド後"", ""ディスラプター・ショット""]",ソジョーンが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻る。,ソジョーンのレールガンが溜まっている時は長く見合わない。キャスディはパワー・スライド後だけ距離を詰め、フラッシュバンで止める。,フラッシュバンは接近時の保険。遠距離では無理に狙わず、遮蔽からピースキーパーを1発ずつ撃つ。,パワー・スライド、レールガン、オーバークロックを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,ソジョーンのレールガンが溜まっている時は長く見合わない。キャスディはパワー・スライド後だけ距離を詰め、フラッシュバンで止める。,v41,8,4,レールガン警戒,,,,,,,,
Soldier: 76,5,4,5,5,3,2,6,4,"[""cover_duel"", ""cross_target_recalibrated_v41""]","[""ヘリックス・ロケット"", ""スプリント"", ""バイオティック・フィールド"", ""タクティカル・バイザー""]","[""ヘリックス・ロケット"", ""バイオティック・フィールド"", ""スプリント""]","[""スプリント"", ""タクティカル・バイザー"", ""バイオティック・フィールド""]","[""スプリントで距離を詰めた後"", ""ヘリックス・ロケット"", ""スプリント""]",ソルジャー76が遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻る。,ソルジャー76には継続戦で付き合いすぎない。キャスディは遮蔽からピースキーパーで先に体力を削り、ヘリックス・ロケット後に詰める。,フラッシュバンは接近時の保険。遠距離では無理に狙わず、遮蔽からピースキーパーを1発ずつ撃つ。,スプリント、タクティカル・バイザー、バイオティック・フィールドを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,ソルジャー76には継続戦で付き合いすぎない。キャスディは遮蔽からピースキーパーで先に体力を削り、ヘリックス・ロケット後に詰める。,v41,5,6,中距離遮蔽戦,,,,,,,,
Hanzo,8,4,6,5,4,3,4,7,"[""dive_or_close_pressure"", ""cover_duel"", ""cross_target_recalibrated_v41""]","[""電光石火"", ""鳴響矢水"", ""体術"", ""龍撃波""]","[""電光石火"", ""体術"", ""壁登り"", ""鳴響矢水""]","[""体術"", ""壁登り"", ""龍撃波""]","[""体術後"", ""電光石火"", ""鳴響矢水""]",ハンゾーが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻る。,ハンゾーと長く見合うほど危険。キャスディは1発撃って遮蔽へ戻り、鳴響矢水が残っている間は同じ射線を避ける。,フラッシュバンは接近時の保険。遠距離では無理に狙わず、遮蔽からピースキーパーを1発ずつ撃つ。,体術、壁登り、龍撃波を見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,長距離で同じ場所から連続ピークしない。1発受けたら必ず位置を変える。,ハンゾーと長く見合うほど危険。キャスディは1発撃って遮蔽へ戻り、鳴響矢水が残っている間は同じ射線を避ける。,v41,8,4,一撃警戒・遮蔽管理,,,,,,,,
Freja,7,5,6,5,4,6,5,6,"[""cover_duel""]","[""ボーラ・ショット"", ""クイック・ダッシュ"", ""アップドラフト"", ""テイク・エイム""]","[""クイック・ダッシュ"", ""アップドラフト"", ""ボーラ・ショット"", ""テイク・エイム""]","[""アップドラフト"", ""クイック・ダッシュ"", ""ボーラ・ショット""]","[""クイック・ダッシュ後"", ""ボーラ・ショット"", ""テイク・エイム""]",フレイヤを真下から追わず、低空・着地・味方へ寄った瞬間を中距離から見る。,孤立・移動スキル後・遮蔽から出た瞬間を優先して撃つ。,空中の遠い相手にフラッシュバンを狙いすぎない。低空、着地、接近時だけ使い、それ以外はピースキーパーで圧をかける。,アップドラフト、クイック・ダッシュ、ボーラ・ショットを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
Anran,7,7,7,5,6,8,5,7,"[""dive_or_close_pressure"", ""flashbang_high_value""]","[""怒炎衝"", ""熠閃舞""]","[""怒炎衝"", ""熠閃舞""]","[""熠閃舞""]","[""怒炎衝後"", ""熠閃舞""]",アンランの得意距離に長く立たず、遮蔽からピースキーパーを当てる。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,フラッシュバンは先投げしない。接近が確定した時、逃げ先が限られた時、味方を守る時だけ使う。,熠閃舞を見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,コンバット・ロールを前進だけに使わない。撃ち合い継続より遮蔽復帰を優先する。,,,,,,,,,,,,,
Genji,8,9,8,4,8,9,6,8,"[""dive_or_close_pressure"", ""flashbang_high_value"", ""deadeye_must_check""]","[""風斬り"", ""木の葉返し"", ""龍撃剣""]","[""木の葉返し後"", ""風斬り後""]","[""風斬り"", ""木の葉返し"", ""龍撃剣""]","[""風斬り後"", ""木の葉返し後"", ""味方サポートへ入った瞬間""]",風斬りで入る先を見て、中距離の遮蔽から待つ。木の葉返し中は無理に撃たず、終了直後か接近確定に合わせる。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,木の葉返し中は撃ち切らない。風斬りで距離を詰めた後、または木の葉返し終了直後にフラッシュバンを合わせる。,木の葉返し、風斬り、龍撃剣を確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,,,,,,,,,,,,,
Shion,7,8,8,4,6,8,5,7,"[""dive_or_close_pressure"", ""flashbang_high_value""]","[""凶走"", ""回避"", ""罰""]","[""凶走"", ""回避""]","[""回避"", ""凶走"", ""殺戮""]","[""凶走後"", ""回避後""]",シオンが横から入るダイブ経路を見て、味方側へ戻れる遮蔽付近で待つ。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,接近前の先投げは避ける。移動スキル後、または味方サポートへ入った近距離でフラッシュバンを使う。,回避か凶走を見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,,,,,,,,,,provisional,シオンは実装直後で情報が薄いため、対面評価は暫定です。スキル名は現在実装されている名称で記載しています。,,
Sombra,8,8,8,4,9,8,5,7,"[""dive_or_close_pressure"", ""flashbang_high_value"", ""deadeye_must_check""]","[""ハック"", ""ステルス"", ""トランズロケーター"", ""EMP""]","[""ハック"", ""トランズロケーター"", ""ステルス"", ""EMP""]","[""ハック"", ""EMP"", ""トランズロケーター""]","[""ハック後"", ""トランズロケーター使用後""]",味方サポート付近の側面ルートを見られる位置で待つ。ハック開始時は削りを待たず、当てられるならフラッシュバンか射撃で中断する。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,ハック開始中に姿が見えたら、体力削りを待たずにフラッシュバンか射撃で中断する。成立後は深追いせず遮蔽で解除を待つ。,ハック、EMP、トランズロケーターを確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,,,,,,,,,,,,,
Tracer,9,10,9,4,8,10,6,9,"[""dive_or_close_pressure"", ""flashbang_high_value"", ""deadeye_must_check""]","[""ブリンク"", ""リコール"", ""パルス・ボム""]","[""リコール後"", ""ブリンクを複数使った後""]","[""ブリンク"", ""リコール"", ""パルス・ボム""]","[""リコール後"", ""ブリンクを複数使った後"", ""味方サポートへ入った瞬間""]",味方サポートへ入るダイブ経路を中距離で見る。ブリンク直後の着地位置を待ち、リコール後の逃げ先が限られた時に止める。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,ブリンク前に先投げしない。近距離に入った後、またはリコール後の逃げ先が限られた時にフラッシュバンを使う。,リコール、ブリンク、パルス・ボムを確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,,,,,,,,,,,,,
Venture,8,8,8,6,7,8,6,8,"[""dive_or_close_pressure"", ""flashbang_high_value""]","[""バロー"", ""ドリル・ダッシュ"", ""テクトニック・ショック""]","[""バロー"", ""ドリル・ダッシュ""]","[""バロー"", ""ドリル・ダッシュ"", ""テクトニック・ショック""]","[""バロー後"", ""ドリル・ダッシュ後""]",ベンチャーが横から入るダイブ経路を見て、味方側へ戻れる遮蔽付近で待つ。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,接近前の先投げは避ける。移動スキル後、または味方サポートへ入った近距離でフラッシュバンを使う。,バロー、ドリル・ダッシュ、テクトニック・ショックを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,,,,,,,,,,,,,
