hero_id,genji_comp_stats.threat_genji,genji_comp_stats.shuriken_value,genji_comp_stats.deflect_value,genji_comp_stats.swift_strike_value,genji_comp_stats.dragonblade_value,genji_comp_stats.cyber_agility_value,genji_comp_stats.backline_pressure_value,genji_comp_stats.matchup_rating,genji_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.dragonblade_check,key_enemy_skills.route_plan,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.route_note
Roadhog,8,6,7,8,5,5,5,5,9,"[""cc_peel_danger"", ""dragonblade_stop_check"", ""tank_not_main_target""]","[""テイク・ア・ブリーザー"", ""チェイン・フック"", ""ピッグペン""]","[""テイク・ア・ブリーザー後"", ""チェイン・フック後""]","[""テイク・ア・ブリーザー"", ""チェイン・フック"", ""ピッグペン""]","[""タンク正面に居座らない"", ""壁登りで後衛側へ回る"", ""龍撃剣はタンク単体へ振らない""]",ロードホッグ相手は、迎撃スキルを残したまま風斬りで入らない。手裏剣で体力差かスキル消費を作り、テイク・ア・ブリーザーを使わせた後に詰める。,テイク・ア・ブリーザー後、チェイン・フック後,龍撃剣はロードホッグ本人に固執しない。テイク・ア・ブリーザー、チェイン・フックを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで後衛側へ回ることで、正面の射線を避けながら手裏剣を通す射線を作る。
Orisa,7,6,5,7,5,5,5,5,8,"[""cc_peel_danger"", ""dragonblade_stop_check"", ""tank_not_main_target""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]","[""フォーティファイ後"", ""ジャベリン・スピン後""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]","[""タンク正面に居座らない"", ""壁登りで後衛側へ回る"", ""龍撃剣はタンク単体へ振らない""]",オリーサ相手は、迎撃スキルを残したまま風斬りで入らない。手裏剣で体力差かスキル消費を作り、フォーティファイを使わせた後に詰める。,フォーティファイ後、ジャベリン・スピン後,龍撃剣はオリーサ本人に固執しない。フォーティファイ、ジャベリン・スピンを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで後衛側へ回ることで、正面の射線を避けながら手裏剣を通す射線を作る。
Sigma,8,7,7,8,6,6,5,5,10,"[""long_sightline_danger"", ""cc_peel_danger"", ""dragonblade_stop_check"", ""tank_not_main_target""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""アクリーション""]","[""エクスペリメンタル・バリア後"", ""キネティック・グラスプ後""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""アクリーション""]","[""タンク正面に居座らない"", ""壁登りで後衛側へ回る"", ""龍撃剣はタンク単体へ振らない""]",シグマ相手は、迎撃スキルを残したまま風斬りで入らない。手裏剣で体力差かスキル消費を作り、エクスペリメンタル・バリアを使わせた後に詰める。,エクスペリメンタル・バリア後、キネティック・グラスプ後,龍撃剣はシグマ本人に固執しない。エクスペリメンタル・バリア、キネティック・グラスプを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで後衛側へ回ることで、正面の射線を避けながら手裏剣を通す射線を作る。
Reinhardt,5,6,6,7,6,5,5,6,8,"[""tank_not_main_target""]","[""バリア・フィールド"", ""チャージ"", ""アースシャター""]","[""バリア・フィールド後"", ""チャージ後""]","[""バリア・フィールド"", ""チャージ"", ""アースシャター""]","[""タンク正面に居座らない"", ""壁登りで後衛側へ回る"", ""龍撃剣はタンク単体へ振らない""]",ラインハルト本体へ居座らない。手裏剣でアルティメットを溜めつつ、敵サポートが孤立した瞬間に風斬りで圧を切り替える。,バリア・フィールド後、チャージ後,龍撃剣はラインハルト本人に固執しない。バリア・フィールド、チャージを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで後衛側へ回ることで、正面の射線を避けながら手裏剣を通す射線を作る。
Ashe,6,8,9,9,8,7,6,7,10,"[""shuriken_poke_and_dash_value"", ""long_sightline_danger"", ""dragonblade_high_value""]","[""コーチ・ガン"", ""ダイナマイト"", ""B.O.B""]","[""コーチ・ガン後"", ""ダイナマイト後""]","[""コーチ・ガン"", ""ダイナマイト"", ""B.O.B""]","[""長い射線を正面から渡らない"", ""壁登りで視線外から近づく"", ""照準が外れた瞬間だけ顔を出す""]",アッシュの長い射線を正面から渡らない。壁登りで高低差を使い、照準が別方向へ向いた瞬間だけ手裏剣から風斬りへつなげる。,コーチ・ガン後、ダイナマイト後,龍撃剣はアッシュ本人に固執しない。コーチ・ガン、ダイナマイトを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで視線外から近づくことで、正面の射線を避けながら手裏剣を通す射線を作る。
Widowmaker,8,8,10,10,8,7,6,7,10,"[""shuriken_poke_and_dash_value"", ""long_sightline_danger"", ""dragonblade_high_value""]","[""グラップリング・フック"", ""ヴェノム・マイン"", ""ウィドウズ・キス""]","[""グラップリング・フック後"", ""ヴェノム・マイン後""]","[""グラップリング・フック"", ""ヴェノム・マイン"", ""ウィドウズ・キス""]","[""長い射線を正面から渡らない"", ""壁登りで視線外から近づく"", ""照準が外れた瞬間だけ顔を出す""]",ウィドウメイカー相手は、壁登りと二段ジャンプで射線外から近づく。正面の長い射線を横切らず、照準が味方へ向いた瞬間に手裏剣から風斬りへつなげる。,グラップリング・フック後、ヴェノム・マイン後,龍撃剣はウィドウメイカー本人に固執しない。グラップリング・フック、ヴェノム・マインを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで視線外から近づくことで、正面の射線を避けながら手裏剣を通す射線を作る。
Emre,6,8,9,9,6,7,6,6,10,"[""shuriken_poke_and_dash_value"", ""long_sightline_danger""]","[""オルタード・バイタル"", ""サイバー・フラグ"", ""シンセティック・バースト・ライフル""]","[""オルタード・バイタル後"", ""サイバー・フラグ後""]","[""オルタード・バイタル"", ""サイバー・フラグ"", ""シンセティック・バースト・ライフル""]","[""長い射線を正面から渡らない"", ""壁登りで視線外から近づく"", ""照準が外れた瞬間だけ顔を出す""]",エムレの長い射線を正面から渡らない。壁登りで高低差を使い、照準が別方向へ向いた瞬間だけ手裏剣から風斬りへつなげる。,オルタード・バイタル後、サイバー・フラグ後,龍撃剣はエムレ本人に固執しない。オルタード・バイタル、サイバー・フラグを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで視線外から近づくことで、正面の射線を避けながら手裏剣を通す射線を作る。
Cassidy,8,8,8,9,6,6,6,4,10,"[""shuriken_poke_and_dash_value"", ""long_sightline_danger"", ""cc_peel_danger"", ""dragonblade_stop_check""]","[""コンバット・ロール"", ""フラッシュバン"", ""デッド・アイ""]","[""フラッシュバン後"", ""コンバット・ロール後""]","[""コンバット・ロール"", ""フラッシュバン"", ""デッド・アイ""]","[""長い射線を正面から渡らない"", ""壁登りで視線外から近づく"", ""照準が外れた瞬間だけ顔を出す""]",キャスディ相手は、フラッシュバンを確認せずに風斬りで入らない。中距離の手裏剣で先に反応を引き出し、回避後だけ短く詰める。,フラッシュバン後、コンバット・ロール後,龍撃剣はキャスディ本人に固執しない。コンバット・ロール、フラッシュバンを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで視線外から近づくことで、正面の射線を避けながら手裏剣を通す射線を作る。
Sojourn,6,8,10,8,6,7,6,6,10,"[""shuriken_poke_and_dash_value"", ""long_sightline_danger""]","[""パワー・スライド"", ""ディスラプター・ショット"", ""レールガン""]","[""パワー・スライド後"", ""ディスラプター・ショット後""]","[""パワー・スライド"", ""ディスラプター・ショット"", ""レールガン""]","[""長い射線を正面から渡らない"", ""壁登りで視線外から近づく"", ""照準が外れた瞬間だけ顔を出す""]",ソジョーンの長い射線を正面から渡らない。壁登りで高低差を使い、照準が別方向へ向いた瞬間だけ手裏剣から風斬りへつなげる。,パワー・スライド後、ディスラプター・ショット後,龍撃剣はソジョーン本人に固執しない。パワー・スライド、ディスラプター・ショットを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで視線外から近づくことで、正面の射線を避けながら手裏剣を通す射線を作る。
Soldier: 76,4,8,8,8,6,7,6,6,9,"[""shuriken_poke_and_dash_value"", ""long_sightline_danger""]","[""スプリント"", ""バイオティック・フィールド"", ""ヘリックス・ロケット""]","[""スプリント後"", ""バイオティック・フィールド後""]","[""バイオティック・フィールド"", ""スプリント"", ""ヘリックス・ロケット""]","[""長い射線を正面から渡らない"", ""壁登りで視線外から近づく"", ""照準が外れた瞬間だけ顔を出す""]",ソルジャー76の長い射線を正面から渡らない。壁登りで高低差を使い、照準が別方向へ向いた瞬間だけ手裏剣から風斬りへつなげる。,スプリント後、バイオティック・フィールド後,龍撃剣はソルジャー76本人に固執しない。バイオティック・フィールド、スプリントを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで視線外から近づくことで、正面の射線を避けながら手裏剣を通す射線を作る。
Hanzo,8,8,10,9,6,6,6,6,10,"[""shuriken_poke_and_dash_value"", ""long_sightline_danger"", ""vertical_route_required""]","[""体術"", ""壁登り"", ""電光石火""]","[""体術後"", ""壁登り後""]","[""体術"", ""壁登り"", ""電光石火""]","[""長い射線を正面から渡らない"", ""壁登りで視線外から近づく"", ""照準が外れた瞬間だけ顔を出す""]",ハンゾーの長い射線を正面から渡らない。壁登りで高低差を使い、照準が別方向へ向いた瞬間だけ手裏剣から風斬りへつなげる。,体術後、壁登り後,龍撃剣はハンゾー本人に固執しない。体術、壁登りを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで視線外から近づくことで、正面の射線を避けながら手裏剣を通す射線を作る。
Freja,6,8,8,8,6,7,6,6,10,"[""shuriken_poke_and_dash_value"", ""long_sightline_danger"", ""vertical_route_required""]","[""クイック・ダッシュ"", ""アップドラフト"", ""ボーラ・ショット""]","[""クイック・ダッシュ後"", ""アップドラフト後""]","[""クイック・ダッシュ"", ""アップドラフト"", ""ボーラ・ショット""]","[""長い射線を正面から渡らない"", ""壁登りで視線外から近づく"", ""照準が外れた瞬間だけ顔を出す""]",フレイヤの長い射線を正面から渡らない。壁登りで高低差を使い、照準が別方向へ向いた瞬間だけ手裏剣から風斬りへつなげる。,クイック・ダッシュ後、アップドラフト後,龍撃剣はフレイヤ本人に固執しない。クイック・ダッシュ、アップドラフトを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで視線外から近づくことで、正面の射線を避けながら手裏剣を通す射線を作る。
Anran,6,5,6,6,5,6,5,6,7,"[""mobility_duel_or_chase""]","[""熠閃舞"", ""朱魂返"", ""怒炎衝""]","[""熠閃舞後"", ""朱魂返後""]","[""熠閃舞"", ""朱魂返"", ""怒炎衝""]","[""遮蔽から手裏剣を当てる"", ""体力差を見て風斬りで詰める"", ""撃破できなければ壁登りで戻る""]",アンランには手裏剣で体力差を作ってから入る。風斬りを最初に使い切らず、撃破確認後の追撃か安全な離脱に残す。,熠閃舞後、朱魂返後,龍撃剣はアンラン本人に固執しない。熠閃舞、朱魂返を確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。体力差を見て風斬りで詰めることで、正面の射線を避けながら手裏剣を通す射線を作る。
Genji,6,5,6,6,5,8,5,6,7,"[""vertical_route_required"", ""mobility_duel_or_chase""]","[""風斬り"", ""木の葉返し"", ""龍撃剣""]","[""木の葉返し後"", ""風斬りを外した後""]","[""木の葉返し"", ""風斬り"", ""龍撃剣""]","[""遮蔽から手裏剣を当てる"", ""体力差を見て風斬りで詰める"", ""撃破できなければ壁登りで戻る""]",ゲンジミラーは、先に風斬りを外した側と、先に木の葉返しを空振りした側が苦しくなる。長く追い回さず、手裏剣の命中確認から風斬りのリセットだけを狙う。,木の葉返し後、風斬りを外した後,龍撃剣はゲンジ本人に固執しない。木の葉返し、風斬りを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。体力差を見て風斬りで詰めることで、正面の射線を避けながら手裏剣を通す射線を作る。
Shion,6,5,6,6,5,6,5,6,7,"[""vertical_route_required"", ""mobility_duel_or_chase""]","[""回避"", ""凶走"", ""罰""]","[""回避後"", ""凶走後""]","[""回避"", ""凶走"", ""罰""]","[""遮蔽から手裏剣を当てる"", ""体力差を見て風斬りで詰める"", ""撃破できなければ壁登りで戻る""]",シオンには手裏剣で体力差を作ってから入る。風斬りを最初に使い切らず、撃破確認後の追撃か安全な離脱に残す。,回避後、凶走後,龍撃剣はシオン本人に固執しない。回避、凶走を確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。体力差を見て風斬りで詰めることで、正面の射線を避けながら手裏剣を通す射線を作る。
Sombra,8,5,6,5,4,6,5,4,8,"[""mobility_duel_or_chase"", ""cc_peel_danger"", ""dragonblade_stop_check""]","[""トランズロケーター"", ""ステルス"", ""ハック""]","[""ハック失敗後"", ""トランズロケーター後""]","[""ハック"", ""EMP"", ""トランズロケーター""]","[""迎撃スキルを先に使わせる"", ""風斬りで入る前に手裏剣を当てる"", ""木の葉返し後に深追いしない""]",ソンブラ相手は、ハック開始時と成立後を分けて考える。開始を見たら手裏剣で中断を狙い、成立したら風斬りと木の葉返しを前提にせず遮蔽へ戻る。,ハック失敗後、トランズロケーター後,龍撃剣はソンブラ本人に固執しない。ハック、EMPを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。風斬りで入る前に手裏剣を当てることで、正面の射線を避けながら手裏剣を通す射線を作る。
Tracer,6,5,6,5,5,6,5,6,7,"[""mobility_duel_or_chase""]","[""ブリンク"", ""リコール"", ""パルス・ボム""]","[""ブリンク後"", ""リコール後""]","[""リコール"", ""ブリンク"", ""パルス・ボム""]","[""遮蔽から手裏剣を当てる"", ""体力差を見て風斬りで詰める"", ""撃破できなければ壁登りで戻る""]",トレーサー相手は、風斬りを先に使うと追跡で不利になる。手裏剣を当ててリコールを使わせ、リコール後の短い硬直だけ詰める。,ブリンク後、リコール後,龍撃剣はトレーサー本人に固執しない。リコール、ブリンクを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。体力差を見て風斬りで詰めることで、正面の射線を避けながら手裏剣を通す射線を作る。
Venture,7,5,7,6,6,6,5,6,8,"[""mobility_duel_or_chase""]","[""バロー"", ""ドリル・ダッシュ"", ""テクトニック・ショック""]","[""バロー後"", ""ドリル・ダッシュ後""]","[""バロー"", ""ドリル・ダッシュ"", ""テクトニック・ショック""]","[""遮蔽から手裏剣を当てる"", ""体力差を見て風斬りで詰める"", ""撃破できなければ壁登りで戻る""]",ベンチャーには手裏剣で体力差を作ってから入る。風斬りを最初に使い切らず、撃破確認後の追撃か安全な離脱に残す。,バロー後、ドリル・ダッシュ後,龍撃剣はベンチャー本人に固執しない。バロー、ドリル・ダッシュを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。体力差を見て風斬りで詰めることで、正面の射線を避けながら手裏剣を通す射線を作る。
Reaper,6,6,7,7,6,5,5,6,8,"[""mobility_duel_or_chase""]","[""レイス・フォーム"", ""シャドウ・ステップ"", ""デス・ブロッサム""]","[""レイス・フォーム後"", ""シャドウ・ステップ後""]","[""レイス・フォーム"", ""シャドウ・ステップ"", ""デス・ブロッサム""]","[""遮蔽から手裏剣を当てる"", ""体力差を見て風斬りで詰める"", ""撃破できなければ壁登りで戻る""]",リーパーには手裏剣で体力差を作ってから入る。風斬りを最初に使い切らず、撃破確認後の追撃か安全な離脱に残す。,レイス・フォーム後、シャドウ・ステップ後,龍撃剣はリーパー本人に固執しない。レイス・フォーム、シャドウ・ステップを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。体力差を見て風斬りで詰めることで、正面の射線を避けながら手裏剣を通す射線を作る。
Vendetta,7,5,7,6,6,5,5,6,8,"[""mobility_duel_or_chase""]","[""ソアリング・スライス"", ""ウォーディング・スタンス"", ""ワールウィンド""]","[""ソアリング・スライス後"", ""ウォーディング・スタンス後""]","[""ウォーディング・スタンス"", ""ソアリング・スライス"", ""ワールウィンド""]","[""遮蔽から手裏剣を当てる"", ""体力差を見て風斬りで詰める"", ""撃破できなければ壁登りで戻る""]",ヴェンデッタには手裏剣で体力差を作ってから入る。風斬りを最初に使い切らず、撃破確認後の追撃か安全な離脱に残す。,ソアリング・スライス後、ウォーディング・スタンス後,龍撃剣はヴェンデッタ本人に固執しない。ウォーディング・スタンス、ソアリング・スライスを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。体力差を見て風斬りで詰めることで、正面の射線を避けながら手裏剣を通す射線を作る。
Echo,8,6,5,7,5,8,5,5,9,"[""vertical_route_required"", ""mobility_duel_or_chase"", ""deflect_low_value_or_beam_danger""]","[""フライト"", ""スティッキー・ボム"", ""フォーカス・ビーム""]","[""フライト後"", ""スティッキー・ボム後""]","[""フライト"", ""スティッキー・ボム"", ""フォーカス・ビーム""]","[""木の葉返しを保険にしない"", ""射程外から手裏剣を当てる"", ""風斬り後の退路を先に決める""]",エコー相手は、飛行中を無理に追わず、降りる瞬間やフォーカス・ビーム後を狙う。木の葉返しで返せない攻撃を受ける距離に居続けない。,フライト後、スティッキー・ボム後,龍撃剣はエコー本人に固執しない。フライト、スティッキー・ボムを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。射程外から手裏剣を当てることで、正面の射線を避けながら手裏剣を通す射線を作る。
Pharah,5,7,8,7,6,8,5,6,8,"[""vertical_route_required"", ""mobility_duel_or_chase""]","[""ジャンプ・ジェット"", ""ジェット・ダッシュ"", ""コンカッシブ・ブラスト""]","[""ジャンプ・ジェット後"", ""ジェット・ダッシュ後""]","[""ジャンプ・ジェット"", ""ジェット・ダッシュ"", ""コンカッシブ・ブラスト""]","[""遮蔽から手裏剣を当てる"", ""体力差を見て風斬りで詰める"", ""撃破できなければ壁登りで戻る""]",ファラ相手は、空中の相手を追いすぎない。高台や壁登りで一瞬だけ射程を作り、手裏剣で圧をかけたら敵サポートへ切り替える。,ジャンプ・ジェット後、ジェット・ダッシュ後,龍撃剣はファラ本人に固執しない。ジャンプ・ジェット、ジェット・ダッシュを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。体力差を見て風斬りで詰めることで、正面の射線を避けながら手裏剣を通す射線を作る。
