target_id,enemy_id,primary_category,secondary_category,ui_badge_label,category_description,category_reason,recommended_response,avoid_response,practice_focus
Soldier76,Roadhog,高耐久削り,長射線管理,高耐久,倒し切りより、資源を吐かせて後衛へ切り替える対面。,倒し切りより資源を使わせて射線を変える。,ロードホッグを倒し切ろうとせず、防御スキルを使わせたら後衛か孤立敵へ切り替える。,ロードホッグだけを撃ち続け、後衛の支援線を放置する。,ソルジャー76視点では「高耐久削り」として処理する。最初に倒し切りより資源を使わせて射線を変える。
Soldier76,Orisa,高耐久削り,撃ち合いテンポ,高耐久,倒し切りより、資源を吐かせて後衛へ切り替える対面。,倒し切りより資源を使わせて射線を変える。,オリーサを倒し切ろうとせず、防御スキルを使わせたら後衛か孤立敵へ切り替える。,オリーサだけを撃ち続け、後衛の支援線を放置する。,ソルジャー76視点では「高耐久削り」として処理する。最初に倒し切りより資源を使わせて射線を変える。
Soldier76,Sigma,盾割り・正面資源,長射線管理,盾資源,バリア・防御スキルを削り、真正面に時間を使いすぎない対面。,バリアや防御スキルを削って後衛へ切り替える。,シグマのバリア・防御スキルを削り、射線が切れた瞬間が出た瞬間だけ撃破候補へ切り替える。,シグマだけを撃ち続け、後衛の支援線を放置する。,ソルジャー76視点では「盾割り・正面資源」として処理する。最初にバリアや防御スキルを削って後衛へ切り替える。
Soldier76,Reinhardt,盾割り・正面資源,高耐久削り,盾資源,バリア・防御スキルを削り、真正面に時間を使いすぎない対面。,バリアや防御スキルを削って後衛へ切り替える。,ラインハルトのバリア・防御スキルを削り、射線が切れた瞬間が出た瞬間だけ撃破候補へ切り替える。,ラインハルトだけを撃ち続け、後衛の支援線を放置する。,ソルジャー76視点では「盾割り・正面資源」として処理する。最初にバリアや防御スキルを削って後衛へ切り替える。
Soldier76,Ashe,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,アッシュの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,アッシュの得意射線で正面から長く撃ち合う。次の遮蔽へ戻る。,ソルジャー76視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。
Soldier76,Widowmaker,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,ウィドウメイカーの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,ウィドウメイカーの得意射線で正面から長く撃ち合う。,ソルジャー76視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。
Soldier76,Emre,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,エムレの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,エムレの得意射線で正面から長く撃ち合う。次の遮蔽へ戻る。,ソルジャー76視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。
Soldier76,Cassidy,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,キャスディの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,キャスディの得意射線で正面から長く撃ち合う。,ソルジャー76視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。
Soldier76,Sojourn,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,ソジョーンの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,ソジョーンの得意射線で正面から長く撃ち合う。,ソルジャー76視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。
Soldier76,Soldier: 76,撃ち合いテンポ,撃ち合いテンポ,撃ち合い,スキル交換後の1回のピークで有利不利が変わる対面。,主要スキル後の1回のピークで有利を取る。,ソルジャー76の主要スキル後に1回のピークし、同じ位置で撃ち合いを続けない。,ソルジャー76のスキルが残っている状態で同じピークを繰り返す。,ソルジャー76視点では「撃ち合いテンポ」として処理する。最初に主要スキル後の1回のピークで有利を取る。
Soldier76,Hanzo,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,ハンゾーの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,ハンゾーの得意射線で正面から長く撃ち合う。次の遮蔽へ戻る。,ソルジャー76視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。
Soldier76,Freja,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,フレイヤの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,フレイヤの得意射線で正面から長く撃ち合う。次の遮蔽へ戻る。,ソルジャー76視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。
Soldier76,Anran,フランカー対策,撃ち合いテンポ,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,アンランのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,アンランを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。
Soldier76,Genji,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,ゲンジの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,ゲンジを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Soldier76,Shion,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,シオンの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,シオンを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Soldier76,Sombra,フランカー対策,範囲・設置物処理,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,ソンブラのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,ソンブラを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。
Soldier76,Tracer,フランカー対策,撃ち合いテンポ,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,トレーサーのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,トレーサーを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。
Soldier76,Venture,フランカー対策,長射線管理,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,ベンチャーのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,ベンチャーを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。
Soldier76,Reaper,フランカー対策,長射線管理,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,リーパーのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,リーパーを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。
Soldier76,Vendetta,フランカー対策,長射線管理,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,ヴェンデッタのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,ヴェンデッタを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。
Soldier76,Echo,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,エコーの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,エコーを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Soldier76,Pharah,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,ファラの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,ファラを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Soldier76,Symmetra,範囲・設置物処理,撃ち合いテンポ,設置処理,設置物、罠、範囲圧を処理してから射線を作る対面。,設置物・範囲圧を処理してから通路を使う。,シンメトラの得意な通路に残らず、設置物や範囲圧を処理してから射線を作る。,シンメトラの範囲圧が残る通路で粘り続ける。次の遮蔽へ戻る。,ソルジャー76視点では「範囲・設置物処理」として処理する。最初に設置物・範囲圧を処理してから通路を使う。
Soldier76,Junkrat,範囲・設置物処理,長射線管理,設置処理,設置物、罠、範囲圧を処理してから射線を作る対面。,設置物・範囲圧を処理してから通路を使う。,ジャンクラットの得意な通路に残らず、設置物や範囲圧を処理してから射線を作る。,ジャンクラットの範囲圧が残る通路で粘り続ける。,ソルジャー76視点では「範囲・設置物処理」として処理する。最初に設置物・範囲圧を処理してから通路を使う。
Soldier76,Torbjörn,撃ち合いテンポ,撃ち合いテンポ,撃ち合い,スキル交換後の1回のピークで有利不利が変わる対面。,主要スキル後の1回のピークで有利を取る。,トールビョーンの主要スキル後に1回のピークし、同じ位置で撃ち合いを続けない。,トールビョーンのスキルが残っている状態で同じピークを繰り返す。,ソルジャー76視点では「撃ち合いテンポ」として処理する。最初に主要スキル後の1回のピークで有利を取る。
Soldier76,Bastion,範囲・設置物処理,長射線管理,設置処理,設置物、罠、範囲圧を処理してから射線を作る対面。,設置物・範囲圧を処理してから通路を使う。,バスティオンの得意な通路に残らず、設置物や範囲圧を処理してから射線を作る。,バスティオンの範囲圧が残る通路で粘り続ける。,ソルジャー76視点では「範囲・設置物処理」として処理する。最初に設置物・範囲圧を処理してから通路を使う。
Soldier76,Mei,範囲・設置物処理,撃ち合いテンポ,設置処理,設置物、罠、範囲圧を処理してから射線を作る対面。,設置物・範囲圧を処理してから通路を使う。,メイの得意な通路に残らず、設置物や範囲圧を処理してから射線を作る。,メイの範囲圧が残る通路で粘り続ける。次の遮蔽へ戻る。,ソルジャー76視点では「範囲・設置物処理」として処理する。最初に設置物・範囲圧を処理してから通路を使う。
Soldier76,Illari,救助崩し,長射線管理,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復スキルを吐かせる。,イラリー本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから次に撃つ敵を選び直す。,イラリーの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復スキルを吐かせる。
Soldier76,Jetpack Cat,空中対策,救助崩し,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,ジェットパック・キャットの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,ジェットパック・キャットを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Soldier76,Juno,空中対策,救助崩し,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,ジュノの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,ジュノを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Soldier76,Baptiste,救助崩し,撃ち合いテンポ,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復スキルを吐かせる。,バティスト本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから次に撃つ敵を選び直す。,バティストの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復スキルを吐かせる。
Soldier76,Mercy,空中対策,救助崩し,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,マーシーの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,マーシーを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Soldier76,Lifeweaver,救助崩し,撃ち合いテンポ,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復スキルを吐かせる。,ライフウィーバー本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから次に撃つ敵を選び直す。,ライフウィーバーの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復スキルを吐かせる。
Soldier76,Kiriko,フランカー対策,救助崩し,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,キリコのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,キリコを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。
Soldier76,Brigitte,救助崩し,撃ち合いテンポ,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復スキルを吐かせる。,ブリギッテ本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから次に撃つ敵を選び直す。,ブリギッテの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復スキルを吐かせる。
Soldier76,Moira,フランカー対策,救助崩し,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,モイラのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,モイラを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。
Soldier76,Lúcio,フランカー対策,救助崩し,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,ルシオのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,ルシオを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。
Soldier76,Ana,救助崩し,長射線管理,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復スキルを吐かせる。,アナ本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから次に撃つ敵を選び直す。,アナの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復スキルを吐かせる。
Soldier76,Wuyang,救助崩し,撃ち合いテンポ,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復スキルを吐かせる。,ウーヤン本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから次に撃つ敵を選び直す。,ウーヤンの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復スキルを吐かせる。
Soldier76,Zenyatta,救助崩し,長射線管理,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復スキルを吐かせる。,ゼニヤッタ本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから次に撃つ敵を選び直す。,ゼニヤッタの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復スキルを吐かせる。
Soldier76,Mizuki,救助崩し,撃ち合いテンポ,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復スキルを吐かせる。,ミズキ本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから次に撃つ敵を選び直す。,ミズキの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復スキルを吐かせる。
Sojourn,D.Va,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,D.Vaの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離バーストを合わせる。,D.Vaを見上げ続けて地上の脅威と遮蔽を失う。,ソジョーン視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Sojourn,Winston,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,ウィンストンの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離バーストを合わせる。,ウィンストンを見上げ続けて地上の脅威と遮蔽を失う。,ソジョーン視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Sojourn,Doomfist,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,ドゥームフィストの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離バーストを合わせる。,ドゥームフィストを見上げ続けて地上の脅威と遮蔽を失う。,ソジョーン視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Sojourn,Hazard,フランカー対策,高耐久削り,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,ハザードのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,ハザードを単独で深追いし、味方射線と回復範囲から外れる。,ソジョーン視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。
Sojourn,Wrecking Ball,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,レッキング・ボールの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離バーストを合わせる。,レッキング・ボールを見上げ続けて地上の脅威と遮蔽を失う。,ソジョーン視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Sojourn,Zarya,高耐久削り,撃ち合いテンポ,高耐久,倒し切りより、資源を吐かせて後衛へ切り替える対面。,倒し切りより資源を使わせて射線を変える。,ザリアを倒し切ろうとせず、防御スキルを使わせたら後衛か孤立敵へ切り替える。,ザリアだけを撃ち続け、後衛の支援線を放置する。,ソジョーン視点では「高耐久削り」として処理する。最初に倒し切りより資源を使わせて射線を変える。
Sojourn,Junker Queen,撃ち合いテンポ,高耐久削り,撃ち合い,スキル交換後の1回のピークで有利不利が変わる対面。,主要スキル後の1回のピークで有利を取る。,ジャンカー・クイーンの主要スキル後に1回のピークし、同じ位置で撃ち合いを続けない。,ジャンカー・クイーンのスキルが残っている状態で同じピークを繰り返す。,ソジョーン視点では「撃ち合いテンポ」として処理する。最初に主要スキル後の1回のピークで有利を取る。
Sojourn,Domina,高耐久削り,撃ち合いテンポ,高耐久,倒し切りより、資源を吐かせて後衛へ切り替える対面。,倒し切りより資源を使わせて射線を変える。,ドミナを倒し切ろうとせず、防御スキルを使わせたら後衛か孤立敵へ切り替える。,ドミナだけを撃ち続け、後衛の支援線を放置する。,ソジョーン視点では「高耐久削り」として処理する。最初に倒し切りより資源を使わせて射線を変える。
Sojourn,Mauga,高耐久削り,撃ち合いテンポ,高耐久,倒し切りより、資源を吐かせて後衛へ切り替える対面。,倒し切りより資源を使わせて射線を変える。,マウガを倒し切ろうとせず、防御スキルを使わせたら後衛か孤立敵へ切り替える。,マウガだけを撃ち続け、後衛の支援線を放置する。,ソジョーン視点では「高耐久削り」として処理する。最初に倒し切りより資源を使わせて射線を変える。
Sojourn,Ramattra,盾割り・正面資源,高耐久削り,盾資源,バリア・防御スキルを削り、真正面に時間を使いすぎない対面。,バリアや防御スキルを削って後衛へ切り替える。,ラマットラのバリア・防御スキルを削り、射線が切れた瞬間が出た瞬間だけ撃破候補へ切り替える。,ラマットラだけを撃ち続け、後衛の支援線を放置する。,ソジョーン視点では「盾割り・正面資源」として処理する。最初にバリアや防御スキルを削って後衛へ切り替える。
Sojourn,Roadhog,高耐久削り,長射線管理,高耐久,倒し切りより、資源を吐かせて後衛へ切り替える対面。,倒し切りより資源を使わせて射線を変える。,ロードホッグを倒し切ろうとせず、防御スキルを使わせたら後衛か孤立敵へ切り替える。,ロードホッグだけを撃ち続け、後衛の支援線を放置する。,ソジョーン視点では「高耐久削り」として処理する。最初に倒し切りより資源を使わせて射線を変える。
Sojourn,Orisa,高耐久削り,撃ち合いテンポ,高耐久,倒し切りより、資源を吐かせて後衛へ切り替える対面。,倒し切りより資源を使わせて射線を変える。,オリーサを倒し切ろうとせず、防御スキルを使わせたら後衛か孤立敵へ切り替える。,オリーサだけを撃ち続け、後衛の支援線を放置する。,ソジョーン視点では「高耐久削り」として処理する。最初に倒し切りより資源を使わせて射線を変える。
Sojourn,Sigma,盾割り・正面資源,長射線管理,盾資源,バリア・防御スキルを削り、真正面に時間を使いすぎない対面。,バリアや防御スキルを削って後衛へ切り替える。,シグマのバリア・防御スキルを削り、射線が切れた瞬間が出た瞬間だけ撃破候補へ切り替える。,シグマだけを撃ち続け、後衛の支援線を放置する。,ソジョーン視点では「盾割り・正面資源」として処理する。最初にバリアや防御スキルを削って後衛へ切り替える。
Sojourn,Reinhardt,盾割り・正面資源,高耐久削り,盾資源,バリア・防御スキルを削り、真正面に時間を使いすぎない対面。,バリアや防御スキルを削って後衛へ切り替える。,ラインハルトのバリア・防御スキルを削り、射線が切れた瞬間が出た瞬間だけ撃破候補へ切り替える。,ラインハルトだけを撃ち続け、後衛の支援線を放置する。,ソジョーン視点では「盾割り・正面資源」として処理する。最初にバリアや防御スキルを削って後衛へ切り替える。
Sojourn,Ashe,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,アッシュの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,アッシュの得意射線で正面から長く撃ち合う。次の遮蔽へ戻る。,ソジョーン視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。
Sojourn,Widowmaker,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,ウィドウメイカーの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,ウィドウメイカーの得意射線で正面から長く撃ち合う。,ソジョーン視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。
