target_id,enemy_id,wait_category,check_skills,punish_window,target_action,reset_action
Soldier76,Freja,移動・離脱の使用確認,クイック・ダッシュ / アップドラフト,クイック・ダッシュ / アップドラフトで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Anran,移動・離脱の使用確認,熠閃舞 / 朱魂返,熠閃舞 / 朱魂返で移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Genji,防御・救助の使用確認,木の葉返し,木の葉返しを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Shion,移動・離脱の使用確認,回避 / 凶走,回避 / 凶走で移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Sombra,防御・救助の使用確認,ハック / EMP,ハック / EMPを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Tracer,防御・救助の使用確認,リコール,リコールを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Venture,防御・救助の使用確認,バロー,バローを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Reaper,防御・救助の使用確認,レイス・フォーム,レイス・フォームを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Vendetta,防御・救助の使用確認,ウォーディング・スタンス,ウォーディング・スタンスを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Echo,移動・離脱の使用確認,フライト,フライトで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Pharah,移動・離脱の使用確認,ジャンプ・ジェット / ジェット・ダッシュ,ジャンプ・ジェット / ジェット・ダッシュで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Symmetra,防御・救助の使用確認,フォトン・バリア,フォトン・バリアを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Junkrat,移動・離脱の使用確認,コンカッション・マイン,コンカッション・マインで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Torbjörn,防御・救助の使用確認,オーバーロード,オーバーロードを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Bastion,接近・仕掛けの後隙確認,強襲モード / A-36タクティカル・グレネード,強襲モード / A-36タクティカル・グレネードで前に出た直後、または戻り道が限定された瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Mei,防御・救助の使用確認,クリオフリーズ / アイス・ウォール,クリオフリーズ / アイス・ウォールを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Illari,防御・救助の使用確認,ヒーリング・パイロン,ヒーリング・パイロンを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Jetpack Cat,防御・救助の使用確認,ゴロゴロ,ゴロゴロを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Juno,防御・救助の使用確認,ハイパーリング / オービタル・レイ,ハイパーリング / オービタル・レイを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Baptiste,防御・救助の使用確認,イモータリティ・フィールド / リジェネ・バースト,イモータリティ・フィールド / リジェネ・バーストを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Mercy,防御・救助の使用確認,蘇生 / ガーディアン・エンジェル,蘇生 / ガーディアン・エンジェルを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Lifeweaver,防御・救助の使用確認,ライフグリップ / ペタル・プラットフォーム / 命の樹,ライフグリップ / ペタル・プラットフォーム / 命の樹を使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Kiriko,防御・救助の使用確認,鈴のご加護 / 神出鬼没,鈴のご加護 / 神出鬼没を使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Brigitte,防御・救助の使用確認,バリア・シールド / ラリー / リペア・パック,バリア・シールド / ラリー / リペア・パックを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Moira,防御・救助の使用確認,フェード,フェードを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Lúcio,防御・救助の使用確認,サウンド・バリア,サウンド・バリアを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Ana,防御・救助の使用確認,スリープ・ダーツ,スリープ・ダーツを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Wuyang,防御・救助の使用確認,養神泉 / 驚濤破,養神泉 / 驚濤破を使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Zenyatta,防御・救助の使用確認,心頭滅却,心頭滅却を使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Mizuki,防御・救助の使用確認,霊域結界 / 快気の笠,霊域結界 / 快気の笠を使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Sojourn,D.Va,防御・救助の使用確認,ディフェンス・マトリックス,ディフェンス・マトリックスを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Winston,防御・救助の使用確認,バリア・プロジェクター,バリア・プロジェクターを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Doomfist,防御・救助の使用確認,パワー・ブロック,パワー・ブロックを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Hazard,防御・救助の使用確認,スパイク・ガード,スパイク・ガードを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Wrecking Ball,防御・救助の使用確認,アダプティブ・シールド,アダプティブ・シールドを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Zarya,防御・救助の使用確認,パーティクル・バリア / バリア・ショット,パーティクル・バリア / バリア・ショットを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Junker Queen,防御・救助の使用確認,コマンディング・シャウト,コマンディング・シャウトを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Domina,防御・救助の使用確認,バリア・アレイ,バリア・アレイを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Mauga,防御・救助の使用確認,カーディアック・オーバードライブ,カーディアック・オーバードライブを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Ramattra,防御・救助の使用確認,ヴォイド・バリア / ブロック,ヴォイド・バリア / ブロックを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Roadhog,防御・救助の使用確認,テイク・ア・ブリーザー,テイク・ア・ブリーザーを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Orisa,防御・救助の使用確認,フォーティファイ / ジャベリン・スピン,フォーティファイ / ジャベリン・スピンを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Sigma,防御・救助の使用確認,エクスペリメンタル・バリア / キネティック・グラスプ,エクスペリメンタル・バリア / キネティック・グラスプを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Reinhardt,防御・救助の使用確認,バリア・フィールド,バリア・フィールドを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Ashe,移動・離脱の使用確認,コーチ・ガン,コーチ・ガンで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Widowmaker,移動・離脱の使用確認,グラップリング・フック,グラップリング・フックで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Emre,移動・離脱の使用確認,オルタード・バイタル,オルタード・バイタルで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Cassidy,移動・離脱の使用確認,コンバット・ロール,コンバット・ロールで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Sojourn,移動・離脱の使用確認,パワー・スライド,パワー・スライドで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Soldier: 76,防御・救助の使用確認,バイオティック・フィールド,バイオティック・フィールドを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Hanzo,移動・離脱の使用確認,体術 / 壁登り,体術 / 壁登りで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Freja,移動・離脱の使用確認,クイック・ダッシュ / アップドラフト,クイック・ダッシュ / アップドラフトで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Anran,移動・離脱の使用確認,熠閃舞 / 朱魂返,熠閃舞 / 朱魂返で移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Genji,防御・救助の使用確認,木の葉返し,木の葉返しを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Shion,移動・離脱の使用確認,回避 / 凶走,回避 / 凶走で移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Sombra,防御・救助の使用確認,ハック / EMP,ハック / EMPを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Tracer,防御・救助の使用確認,リコール,リコールを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Venture,防御・救助の使用確認,バロー,バローを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Reaper,防御・救助の使用確認,レイス・フォーム,レイス・フォームを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Vendetta,防御・救助の使用確認,ウォーディング・スタンス,ウォーディング・スタンスを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Echo,移動・離脱の使用確認,フライト,フライトで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Pharah,移動・離脱の使用確認,ジャンプ・ジェット / ジェット・ダッシュ,ジャンプ・ジェット / ジェット・ダッシュで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Symmetra,防御・救助の使用確認,フォトン・バリア,フォトン・バリアを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Junkrat,移動・離脱の使用確認,コンカッション・マイン,コンカッション・マインで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Torbjörn,防御・救助の使用確認,オーバーロード,オーバーロードを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Bastion,接近・仕掛けの後隙確認,強襲モード / A-36タクティカル・グレネード,強襲モード / A-36タクティカル・グレネードで前に出た直後、または戻り道が限定された瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Mei,防御・救助の使用確認,クリオフリーズ / アイス・ウォール,クリオフリーズ / アイス・ウォールを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Illari,防御・救助の使用確認,ヒーリング・パイロン,ヒーリング・パイロンを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Jetpack Cat,防御・救助の使用確認,ゴロゴロ,ゴロゴロを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Juno,防御・救助の使用確認,ハイパーリング / オービタル・レイ,ハイパーリング / オービタル・レイを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Baptiste,防御・救助の使用確認,イモータリティ・フィールド / リジェネ・バースト,イモータリティ・フィールド / リジェネ・バーストを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Mercy,防御・救助の使用確認,蘇生 / ガーディアン・エンジェル,蘇生 / ガーディアン・エンジェルを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Lifeweaver,防御・救助の使用確認,ライフグリップ / ペタル・プラットフォーム / 命の樹,ライフグリップ / ペタル・プラットフォーム / 命の樹を使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Kiriko,防御・救助の使用確認,鈴のご加護 / 神出鬼没,鈴のご加護 / 神出鬼没を使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Brigitte,防御・救助の使用確認,バリア・シールド / ラリー / リペア・パック,バリア・シールド / ラリー / リペア・パックを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Moira,防御・救助の使用確認,フェード,フェードを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Lúcio,防御・救助の使用確認,サウンド・バリア,サウンド・バリアを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Ana,防御・救助の使用確認,スリープ・ダーツ,スリープ・ダーツを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Wuyang,防御・救助の使用確認,養神泉 / 驚濤破,養神泉 / 驚濤破を使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Zenyatta,防御・救助の使用確認,心頭滅却,心頭滅却を使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,Mizuki,防御・救助の使用確認,霊域結界 / 快気の笠,霊域結界 / 快気の笠を使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Cassidy,D.Va,防御・救助の使用確認,ディフェンス・マトリックス,ディフェンス・マトリックスを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Winston,防御・救助の使用確認,バリア・プロジェクター,バリア・プロジェクターを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Doomfist,防御・救助の使用確認,パワー・ブロック,パワー・ブロックを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Hazard,防御・救助の使用確認,スパイク・ガード,スパイク・ガードを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Wrecking Ball,防御・救助の使用確認,アダプティブ・シールド,アダプティブ・シールドを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Zarya,防御・救助の使用確認,パーティクル・バリア / バリア・ショット,パーティクル・バリア / バリア・ショットを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Junker Queen,防御・救助の使用確認,コマンディング・シャウト,コマンディング・シャウトを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Domina,防御・救助の使用確認,バリア・アレイ,バリア・アレイを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Mauga,防御・救助の使用確認,カーディアック・オーバードライブ,カーディアック・オーバードライブを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Ramattra,防御・救助の使用確認,ヴォイド・バリア / ブロック,ヴォイド・バリア / ブロックを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Roadhog,防御・救助の使用確認,テイク・ア・ブリーザー,テイク・ア・ブリーザーを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Orisa,防御・救助の使用確認,フォーティファイ / ジャベリン・スピン,フォーティファイ / ジャベリン・スピンを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Sigma,防御・救助の使用確認,エクスペリメンタル・バリア / キネティック・グラスプ,エクスペリメンタル・バリア / キネティック・グラスプを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Reinhardt,防御・救助の使用確認,バリア・フィールド,バリア・フィールドを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Ashe,移動・離脱の使用確認,コーチ・ガン,コーチ・ガンで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Widowmaker,移動・離脱の使用確認,グラップリング・フック,グラップリング・フックで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Emre,移動・離脱の使用確認,オルタード・バイタル,オルタード・バイタルで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Cassidy,移動・離脱の使用確認,コンバット・ロール,コンバット・ロールで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Sojourn,移動・離脱の使用確認,パワー・スライド,パワー・スライドで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Soldier: 76,防御・救助の使用確認,バイオティック・フィールド,バイオティック・フィールドを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Hanzo,移動・離脱の使用確認,体術 / 壁登り,体術 / 壁登りで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Freja,移動・離脱の使用確認,クイック・ダッシュ / アップドラフト,クイック・ダッシュ / アップドラフトで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Anran,移動・離脱の使用確認,熠閃舞 / 朱魂返,熠閃舞 / 朱魂返で移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Genji,防御・救助の使用確認,木の葉返し,木の葉返しを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Shion,移動・離脱の使用確認,回避 / 凶走,回避 / 凶走で移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Sombra,防御・救助の使用確認,ハック / EMP,ハック / EMPを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Tracer,防御・救助の使用確認,リコール,リコールを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Venture,防御・救助の使用確認,バロー,バローを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Reaper,防御・救助の使用確認,レイス・フォーム,レイス・フォームを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Vendetta,防御・救助の使用確認,ウォーディング・スタンス,ウォーディング・スタンスを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Echo,移動・離脱の使用確認,フライト,フライトで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Pharah,移動・離脱の使用確認,ジャンプ・ジェット / ジェット・ダッシュ,ジャンプ・ジェット / ジェット・ダッシュで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Symmetra,防御・救助の使用確認,フォトン・バリア,フォトン・バリアを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Junkrat,移動・離脱の使用確認,コンカッション・マイン,コンカッション・マインで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Torbjörn,防御・救助の使用確認,オーバーロード,オーバーロードを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Bastion,接近・仕掛けの後隙確認,強襲モード / A-36タクティカル・グレネード,強襲モード / A-36タクティカル・グレネードで前に出た直後、または戻り道が限定された瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,Mei,防御・救助の使用確認,クリオフリーズ / アイス・ウォール,クリオフリーズ / アイス・ウォールを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
