target_id,target_ja,enemy_id,enemy_ja,enemy_role,enemy_sub_role,matchup_rating,verdict,advantage_reason,disadvantage_reason,win_condition,loss_condition,play_priority,confidence
Soldier76,ソルジャー76,Roadhog,ロードホッグ,タンク,ブルーザー,4.7,五分,ソルジャー76は中距離で1回のピークすれば、ロードホッグに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,ロードホッグの高耐久と正面圧を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、ロードホッグを削って防御資源を使わせ、撃破圏内のダメージかサポートへ射線を切り替えること。,負け筋は、ロードホッグだけを撃ち続けて敵サポートを自由にし、こちらの強いタイミングを消すこと。,削って後衛へ切り替える,high
Soldier76,ソルジャー76,Orisa,オリーサ,タンク,ブルーザー,4.8,五分,ソルジャー76は中距離で1回のピークすれば、オリーサに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,オリーサの高耐久と正面圧を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、オリーサを削って防御資源を使わせ、撃破圏内のダメージかサポートへ射線を切り替えること。,負け筋は、オリーサだけを撃ち続けて敵サポートを自由にし、こちらの強いタイミングを消すこと。,削って後衛へ切り替える,high
Soldier76,ソルジャー76,Sigma,シグマ,タンク,ストールワート,3.8,やや不利,ソルジャー76にも勝ち筋はあるが、シグマが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、シグマの長射線の先制ダメージ、高耐久と正面圧がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、シグマを削って防御資源を使わせ、撃破圏内のダメージかサポートへ射線を切り替えること。,負け筋は、シグマの見ている射線へ同じ場所から再ピークし、先に体力差を作られること。,削って後衛へ切り替える,high
Soldier76,ソルジャー76,Reinhardt,ラインハルト,タンク,ストールワート,5.3,五分,ソルジャー76は中距離で1回のピークすれば、ラインハルトに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,ラインハルトの高耐久と正面圧を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、ラインハルトを削って防御資源を使わせ、撃破圏内のダメージかサポートへ射線を切り替えること。,負け筋は、ラインハルトだけを撃ち続けて敵サポートを自由にし、こちらの強いタイミングを消すこと。,削って後衛へ切り替える,high
Soldier76,ソルジャー76,Ashe,アッシュ,ダメージ,シャープシューター,4.0,やや不利,ソルジャー76にも勝ち筋はあるが、アッシュが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、アッシュの長射線の先制ダメージがソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、アッシュと正面で見合わず、味方の前進や射線が割れた瞬間に安定した継続火力を差し込むこと。,負け筋は、アッシュの見ている射線へ同じ場所から再ピークし、先に体力差を作られること。,単独勝負を避ける,high
Soldier76,ソルジャー76,Widowmaker,ウィドウメイカー,ダメージ,シャープシューター,4.9,五分,ソルジャー76は中距離で1回のピークすれば、ウィドウメイカーに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,ウィドウメイカーの長射線の先制ダメージを先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、ウィドウメイカーと正面で見合わず、味方の前進や射線が割れた瞬間に安定した継続火力を差し込むこと。,負け筋は、ウィドウメイカーの見ている射線へ同じ場所から再ピークし、先に体力差を作られること。,遮蔽に戻れる時間だけ削って位置を変える,high
Soldier76,ソルジャー76,Emre,エムレ,ダメージ,スペシャリスト,4.3,五分,ソルジャー76は中距離で1回のピークすれば、エムレに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,エムレの長射線の先制ダメージを先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、エムレと正面で見合わず、味方の前進や射線が割れた瞬間に安定した継続火力を差し込むこと。,負け筋は、エムレの見ている射線へ同じ場所から再ピークし、先に体力差を作られること。,遮蔽に戻れる時間だけ削って位置を変える,high
Soldier76,ソルジャー76,Cassidy,キャスディ,ダメージ,シャープシューター,5.0,五分,ソルジャー76は中距離で1回のピークすれば、キャスディに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,キャスディの長射線の先制ダメージを先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、キャスディと正面で見合わず、味方の前進や射線が割れた瞬間に安定した継続火力を差し込むこと。,負け筋は、キャスディの見ている射線へ同じ場所から再ピークし、先に体力差を作られること。,遮蔽に戻れる時間だけ削って位置を変える,high
Soldier76,ソルジャー76,Sojourn,ソジョーン,ダメージ,シャープシューター,4.0,やや不利,ソルジャー76にも勝ち筋はあるが、ソジョーンが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、ソジョーンの長射線の先制ダメージがソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、ソジョーンと正面で見合わず、味方の前進や射線が割れた瞬間に安定した継続火力を差し込むこと。,負け筋は、ソジョーンの見ている射線へ同じ場所から再ピークし、先に体力差を作られること。,単独勝負を避ける,high
Soldier76,ソルジャー76,Soldier: 76,ソルジャー76,ダメージ,スペシャリスト,5.0,五分,ソルジャー76は中距離で1回のピークすれば、ソルジャー76に一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,ソルジャー76の長射線の先制ダメージを先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、ソルジャー76と正面で見合わず、味方の前進や射線が割れた瞬間に安定した継続火力を差し込むこと。,負け筋は、ソルジャー76の見ている射線へ同じ場所から再ピークし、先に体力差を作られること。,遮蔽に戻れる時間だけ削って位置を変える,high
Soldier76,ソルジャー76,Hanzo,ハンゾー,ダメージ,シャープシューター,4.0,やや不利,ソルジャー76にも勝ち筋はあるが、ハンゾーが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、ハンゾーの長射線の先制ダメージがソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、ハンゾーと正面で見合わず、味方の前進や射線が割れた瞬間に安定した継続火力を差し込むこと。,負け筋は、ハンゾーの見ている射線へ同じ場所から再ピークし、先に体力差を作られること。,単独勝負を避ける,high
Soldier76,ソルジャー76,Freja,フレイヤ,ダメージ,リコン,4.3,五分,ソルジャー76は中距離で1回のピークすれば、フレイヤに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,フレイヤの長射線の先制ダメージを先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、フレイヤと正面で見合わず、味方の前進や射線が割れた瞬間に安定した継続火力を差し込むこと。,負け筋は、フレイヤの見ている射線へ同じ場所から再ピークし、先に体力差を作られること。,遮蔽に戻れる時間だけ削って位置を変える,high
Soldier76,ソルジャー76,Anran,アンラン,ダメージ,フランカー,3.6,やや不利,ソルジャー76にも勝ち筋はあるが、アンランが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、アンランの接近と離脱がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、アンランのダイブ後の着地か離脱方向を見て、動きが止まった瞬間だけヘリックス・ロケットを合わせること。,負け筋は、アンランを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,ソルジャー76,Genji,ゲンジ,ダメージ,フランカー,2.7,不利,ソルジャー76にも勝ち筋はあるが、ゲンジが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、ゲンジの高さの差、接近と離脱がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、ゲンジのダイブ後の着地か離脱方向を見て、動きが止まった瞬間だけヘリックス・ロケットを合わせること。,負け筋は、ゲンジを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,ソルジャー76,Shion,シオン,ダメージ,フランカー,3.0,やや不利,ソルジャー76にも勝ち筋はあるが、シオンが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、シオンの高さの差、接近と離脱がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、シオンのダイブ後の着地か離脱方向を見て、動きが止まった瞬間だけヘリックス・ロケットを合わせること。,負け筋は、シオンを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,ソルジャー76,Sombra,ソンブラ,ダメージ,リコン,2.4,不利,ソルジャー76にも勝ち筋はあるが、ソンブラが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、ソンブラの接近と離脱がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、ソンブラのダイブ後の着地か離脱方向を見て、動きが止まった瞬間だけヘリックス・ロケットを合わせること。,負け筋は、ソンブラを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,ソルジャー76,Tracer,トレーサー,ダメージ,フランカー,2.6,不利,ソルジャー76にも勝ち筋はあるが、トレーサーが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、トレーサーの接近と離脱がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、トレーサーのダイブ後の着地か離脱方向を見て、動きが止まった瞬間だけヘリックス・ロケットを合わせること。,負け筋は、トレーサーを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,ソルジャー76,Venture,ベンチャー,ダメージ,フランカー,3.6,やや不利,ソルジャー76にも勝ち筋はあるが、ベンチャーが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、ベンチャーの接近と離脱がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、ベンチャーのダイブ後の着地か離脱方向を見て、動きが止まった瞬間だけヘリックス・ロケットを合わせること。,負け筋は、ベンチャーを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,ソルジャー76,Reaper,リーパー,ダメージ,フランカー,6.0,やや有利,ソルジャー76は中距離の体力差作りと射線変更で、リーパーは接近と離脱で照準を外しに来る相手に先に体力差を作れる。ヘリックス・ロケットは、リーパーの移動・防御・救助を見た後に使うと撃破へつながりやすい。,ただしリーパーの接近と離脱を無視すると、瞬間接近と長射線の圧を突かれる。倒し切る前提で深追いせず、遮蔽へ戻れる距離を残す。,勝ち方は、リーパーのダイブ後の着地か離脱方向を見て、動きが止まった瞬間だけヘリックス・ロケットを合わせること。,負け筋は、リーパーを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,ソルジャー76,Vendetta,ヴェンデッタ,ダメージ,フランカー,3.6,やや不利,ソルジャー76にも勝ち筋はあるが、ヴェンデッタが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、ヴェンデッタの接近と離脱がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、ヴェンデッタのダイブ後の着地か離脱方向を見て、動きが止まった瞬間だけヘリックス・ロケットを合わせること。,負け筋は、ヴェンデッタを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,ソルジャー76,Echo,エコー,ダメージ,リコン,4.3,五分,ソルジャー76は中距離で1回のピークすれば、エコーに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,エコーの高さの差、接近と離脱を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、エコーのダイブ後の着地か離脱方向を見て、動きが止まった瞬間だけヘリックス・ロケットを合わせること。,負け筋は、エコーを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,ソルジャー76,Pharah,ファラ,ダメージ,リコン,5.2,五分,ソルジャー76は中距離で1回のピークすれば、ファラに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,ファラの高さの差、接近と離脱を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、ファラのダイブ後の着地か離脱方向を見て、動きが止まった瞬間だけヘリックス・ロケットを合わせること。,負け筋は、ファラを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,ソルジャー76,Symmetra,シンメトラ,ダメージ,スペシャリスト,6.0,やや有利,ソルジャー76は中距離の体力差作りと射線変更で、シンメトラは位置取りとスキル交換で有利不利が変わる相手に先に体力差を作れる。ヘリックス・ロケットは、シンメトラの移動・防御・救助を見た後に使うと撃破へつながりやすい。,ただしシンメトラのスキル交換を無視すると、瞬間接近と長射線の圧を突かれる。倒し切る前提で深追いせず、遮蔽へ戻れる距離を残す。,勝ち方は、シンメトラの主要スキルを見てから安定した継続火力で短く体力差を作り、目的が消えたら位置を変えること。,負け筋は、シンメトラの得意距離で長く撃ち合い、次の射線変更が遅れること。,遮蔽に戻れる時間だけ削って位置を変える,high
Soldier76,ソルジャー76,Junkrat,ジャンクラット,ダメージ,スペシャリスト,4.9,五分,ソルジャー76は中距離で1回のピークすれば、ジャンクラットに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,ジャンクラットのスキル交換を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、ジャンクラットの主要スキルを見てから安定した継続火力で短く体力差を作り、目的が消えたら位置を変えること。,負け筋は、ジャンクラットの得意距離で長く撃ち合い、次の射線変更が遅れること。,遮蔽に戻れる時間だけ削って位置を変える,high
Soldier76,ソルジャー76,Torbjörn,トールビョーン,ダメージ,スペシャリスト,5.0,五分,ソルジャー76は中距離で1回のピークすれば、トールビョーンに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,トールビョーンのスキル交換を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、トールビョーンの主要スキルを見てから安定した継続火力で短く体力差を作り、目的が消えたら位置を変えること。,負け筋は、トールビョーンの得意距離で長く撃ち合い、次の射線変更が遅れること。,遮蔽に戻れる時間だけ削って位置を変える,high
Soldier76,ソルジャー76,Bastion,バスティオン,ダメージ,スペシャリスト,5.4,五分,ソルジャー76は中距離で1回のピークすれば、バスティオンに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,バスティオンの長射線の先制ダメージを先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、バスティオンと正面で見合わず、味方の前進や射線が割れた瞬間に安定した継続火力を差し込むこと。,負け筋は、バスティオンの見ている射線へ同じ場所から再ピークし、先に体力差を作られること。,遮蔽に戻れる時間だけ削って位置を変える,high
Soldier76,ソルジャー76,Mei,メイ,ダメージ,スペシャリスト,4.2,やや不利,ソルジャー76にも勝ち筋はあるが、メイが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、メイのスキル交換がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、メイの主要スキルを見てから安定した継続火力で短く体力差を作り、目的が消えたら位置を変えること。,負け筋は、メイの得意距離で長く撃ち合い、次の射線変更が遅れること。,単独勝負を避ける,high
Soldier76,ソルジャー76,Illari,イラリー,サポート,サバイバー,5.4,五分,ソルジャー76は中距離で1回のピークすれば、イラリーに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,イラリーの長射線の先制ダメージ、救助・回復・妨害を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、イラリー本体の即キルではなく、回復先へ圧をかけて防御・救助・移動スキルを使わせた後にヘリックス・ロケットを通すこと。,負け筋は、イラリーの見ている射線へ同じ場所から再ピークし、先に体力差を作られること。,防御・救助・移動スキルを使わせる,high
Soldier76,ソルジャー76,Jetpack Cat,ジェットパック・キャット,サポート,タクティシャン,4.4,五分,ソルジャー76は中距離で1回のピークすれば、ジェットパック・キャットに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,ジェットパック・キャットの高さの差、接近と離脱を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、ジェットパック・キャット本体の即キルではなく、回復先へ圧をかけて防御・救助・移動スキルを使わせた後にヘリックス・ロケットを通すこと。,負け筋は、ジェットパック・キャットを一人で追い、スプリントや退路を失った状態で反撃を受けること。,防御・救助・移動スキルを使わせる,high
Soldier76,ソルジャー76,Juno,ジュノ,サポート,サバイバー,4.6,五分,ソルジャー76は中距離で1回のピークすれば、ジュノに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,ジュノの高さの差、接近と離脱を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、ジュノ本体の即キルではなく、回復先へ圧をかけて防御・救助・移動スキルを使わせた後にヘリックス・ロケットを通すこと。,負け筋は、ジュノを一人で追い、スプリントや退路を失った状態で反撃を受けること。,防御・救助・移動スキルを使わせる,high
Soldier76,ソルジャー76,Baptiste,バティスト,サポート,タクティシャン,4.5,五分,ソルジャー76は中距離で1回のピークすれば、バティストに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,バティストの長射線の先制ダメージ、救助・回復・妨害を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、バティスト本体の即キルではなく、回復先へ圧をかけて防御・救助・移動スキルを使わせた後にヘリックス・ロケットを通すこと。,負け筋は、バティストの見ている射線へ同じ場所から再ピークし、先に体力差を作られること。,防御・救助・移動スキルを使わせる,high
Soldier76,ソルジャー76,Mercy,マーシー,サポート,メディック,5.3,五分,ソルジャー76は中距離で1回のピークすれば、マーシーに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,マーシーの高さの差、接近と離脱を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、マーシー本体の即キルではなく、回復先へ圧をかけて防御・救助・移動スキルを使わせた後にヘリックス・ロケットを通すこと。,負け筋は、マーシーを一人で追い、スプリントや退路を失った状態で反撃を受けること。,防御・救助・移動スキルを使わせる,high
Soldier76,ソルジャー76,Lifeweaver,ライフウィーバー,サポート,メディック,5.1,五分,ソルジャー76は中距離で1回のピークすれば、ライフウィーバーに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,ライフウィーバーの救助・回復・妨害を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、ライフウィーバー本体の即キルではなく、回復先へ圧をかけて防御・救助・移動スキルを使わせた後にヘリックス・ロケットを通すこと。,負け筋は、ライフウィーバーの救助・妨害が残ったまま決定打やタクティカル・バイザーを使うこと。,防御・救助・移動スキルを使わせる,high
Soldier76,ソルジャー76,Kiriko,キリコ,サポート,メディック,3.9,やや不利,ソルジャー76にも勝ち筋はあるが、キリコが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、キリコの接近と離脱、救助・回復・妨害がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、キリコ本体の即キルではなく、回復先へ圧をかけて防御・救助・移動スキルを使わせた後にヘリックス・ロケットを通すこと。,負け筋は、キリコを一人で追い、スプリントや退路を失った状態で反撃を受けること。,防御・救助・移動スキルを使わせる,high
