target_id,target_ja,enemy_id,enemy_ja,enemy_role,enemy_sub_role,primary_category,secondary_category,ui_badge_label,category_description,category_reason,recommended_response,avoid_response,practice_focus,taxonomy_version
Soldier76,ソルジャー76,Roadhog,ロードホッグ,タンク,ブルーザー,高耐久削り,長射線管理,高耐久,倒し切りより、資源を吐かせて後衛へ切り替える対面。,倒し切りより資源を使わせて射線を変える。,ロードホッグを倒し切ろうとせず、防御資源を使わせたら後衛か孤立敵へ切り替える。,ロードホッグだけを撃ち続け、後衛の支援線を放置する。,ソルジャー76視点では「高耐久削り」として処理する。最初に倒し切りより資源を使わせて射線を変える。,v50.12
Soldier76,ソルジャー76,Orisa,オリーサ,タンク,ブルーザー,高耐久削り,撃ち合いテンポ,高耐久,倒し切りより、資源を吐かせて後衛へ切り替える対面。,倒し切りより資源を使わせて射線を変える。,オリーサを倒し切ろうとせず、防御資源を使わせたら後衛か孤立敵へ切り替える。,オリーサだけを撃ち続け、後衛の支援線を放置する。,ソルジャー76視点では「高耐久削り」として処理する。最初に倒し切りより資源を使わせて射線を変える。,v50.12
Soldier76,ソルジャー76,Sigma,シグマ,タンク,ストールワート,盾割り・正面資源,長射線管理,盾資源,バリア・防御資源を削り、真正面に時間を使いすぎない対面。,バリアや防御資源を削って後衛へ切り替える。,シグマのバリア・防御資源を削り、割れ目が出た瞬間だけ撃破候補へ切り替える。,シグマだけを撃ち続け、後衛の支援線を放置する。,ソルジャー76視点では「盾割り・正面資源」として処理する。最初にバリアや防御資源を削って後衛へ切り替える。,v50.12
Soldier76,ソルジャー76,Reinhardt,ラインハルト,タンク,ストールワート,盾割り・正面資源,高耐久削り,盾資源,バリア・防御資源を削り、真正面に時間を使いすぎない対面。,バリアや防御資源を削って後衛へ切り替える。,ラインハルトのバリア・防御資源を削り、割れ目が出た瞬間だけ撃破候補へ切り替える。,ラインハルトだけを撃ち続け、後衛の支援線を放置する。,ソルジャー76視点では「盾割り・正面資源」として処理する。最初にバリアや防御資源を削って後衛へ切り替える。,v50.12
Soldier76,ソルジャー76,Ashe,アッシュ,ダメージ,シャープシューター,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,アッシュの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,アッシュの得意射線で正面から長く撃ち合う。次の遮蔽へ戻る。,ソルジャー76視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。,v50.12
Soldier76,ソルジャー76,Widowmaker,ウィドウメイカー,ダメージ,シャープシューター,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,ウィドウメイカーの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,ウィドウメイカーの得意射線で正面から長く撃ち合う。,ソルジャー76視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。,v50.12
Soldier76,ソルジャー76,Emre,エムレ,ダメージ,スペシャリスト,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,エムレの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,エムレの得意射線で正面から長く撃ち合う。次の遮蔽へ戻る。,ソルジャー76視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。,v50.12
Soldier76,ソルジャー76,Cassidy,キャスディ,ダメージ,シャープシューター,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,キャスディの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,キャスディの得意射線で正面から長く撃ち合う。,ソルジャー76視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。,v50.12
Soldier76,ソルジャー76,Sojourn,ソジョーン,ダメージ,シャープシューター,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,ソジョーンの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,ソジョーンの得意射線で正面から長く撃ち合う。,ソルジャー76視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。,v50.12
Soldier76,ソルジャー76,Soldier: 76,ソルジャー76,ダメージ,スペシャリスト,撃ち合いテンポ,撃ち合いテンポ,撃ち合い,スキル交換後の1回のピークで有利不利が変わる対面。,主要スキル後の1回のピークで有利を取る。,ソルジャー76の主要スキル後に1回のピークし、同じ位置で撃ち合いを続けない。,ソルジャー76のスキルが残っている状態で同じピークを繰り返す。,ソルジャー76視点では「撃ち合いテンポ」として処理する。最初に主要スキル後の1回のピークで有利を取る。,v50.12
Soldier76,ソルジャー76,Hanzo,ハンゾー,ダメージ,シャープシューター,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,ハンゾーの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,ハンゾーの得意射線で正面から長く撃ち合う。次の遮蔽へ戻る。,ソルジャー76視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。,v50.12
Soldier76,ソルジャー76,Freja,フレイヤ,ダメージ,リコン,長射線管理,撃ち合いテンポ,長射線,正面の撃ち合いを避け、短い別射線で体力差を作る対面。,正面射線を避け、短い別射線で体力差を作る。,フレイヤの正面射線を避け、味方が視線を引いた一拍だけ別射線から撃つ。,フレイヤの得意射線で正面から長く撃ち合う。次の遮蔽へ戻る。,ソルジャー76視点では「長射線管理」として処理する。最初に正面射線を避け、短い別射線で体力差を作る。,v50.12
Soldier76,ソルジャー76,Anran,アンラン,ダメージ,フランカー,フランカー対策,撃ち合いテンポ,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,アンランのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,アンランを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。,v50.12
Soldier76,ソルジャー76,Genji,ゲンジ,ダメージ,フランカー,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,ゲンジの最高高度ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,ゲンジを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。,v50.12
Soldier76,ソルジャー76,Shion,シオン,ダメージ,フランカー,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,シオンの最高高度ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,シオンを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。,v50.12
Soldier76,ソルジャー76,Sombra,ソンブラ,ダメージ,リコン,フランカー対策,範囲・設置物処理,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,ソンブラのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,ソンブラを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。,v50.12
Soldier76,ソルジャー76,Tracer,トレーサー,ダメージ,フランカー,フランカー対策,撃ち合いテンポ,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,トレーサーのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,トレーサーを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。,v50.12
Soldier76,ソルジャー76,Venture,ベンチャー,ダメージ,フランカー,フランカー対策,長射線管理,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,ベンチャーのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,ベンチャーを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。,v50.12
Soldier76,ソルジャー76,Reaper,リーパー,ダメージ,フランカー,フランカー対策,長射線管理,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,リーパーのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,リーパーを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。,v50.12
Soldier76,ソルジャー76,Vendetta,ヴェンデッタ,ダメージ,フランカー,フランカー対策,長射線管理,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,ヴェンデッタのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,ヴェンデッタを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。,v50.12
Soldier76,ソルジャー76,Echo,エコー,ダメージ,リコン,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,エコーの最高高度ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,エコーを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。,v50.12
Soldier76,ソルジャー76,Pharah,ファラ,ダメージ,リコン,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,ファラの最高高度ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,ファラを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。,v50.12
Soldier76,ソルジャー76,Symmetra,シンメトラ,ダメージ,スペシャリスト,範囲・設置物処理,撃ち合いテンポ,設置処理,設置物、罠、範囲圧を処理してから射線を作る対面。,設置物・範囲圧を処理してから通路を使う。,シンメトラの得意な通路に残らず、設置物や範囲圧を処理してから射線を作る。,シンメトラの範囲圧が残る通路で粘り続ける。次の遮蔽へ戻る。,ソルジャー76視点では「範囲・設置物処理」として処理する。最初に設置物・範囲圧を処理してから通路を使う。,v50.12
Soldier76,ソルジャー76,Junkrat,ジャンクラット,ダメージ,スペシャリスト,範囲・設置物処理,長射線管理,設置処理,設置物、罠、範囲圧を処理してから射線を作る対面。,設置物・範囲圧を処理してから通路を使う。,ジャンクラットの得意な通路に残らず、設置物や範囲圧を処理してから射線を作る。,ジャンクラットの範囲圧が残る通路で粘り続ける。,ソルジャー76視点では「範囲・設置物処理」として処理する。最初に設置物・範囲圧を処理してから通路を使う。,v50.12
Soldier76,ソルジャー76,Torbjörn,トールビョーン,ダメージ,スペシャリスト,撃ち合いテンポ,撃ち合いテンポ,撃ち合い,スキル交換後の1回のピークで有利不利が変わる対面。,主要スキル後の1回のピークで有利を取る。,トールビョーンの主要スキル後に1回のピークし、同じ位置で撃ち合いを続けない。,トールビョーンのスキルが残っている状態で同じピークを繰り返す。,ソルジャー76視点では「撃ち合いテンポ」として処理する。最初に主要スキル後の1回のピークで有利を取る。,v50.12
Soldier76,ソルジャー76,Bastion,バスティオン,ダメージ,スペシャリスト,範囲・設置物処理,長射線管理,設置処理,設置物、罠、範囲圧を処理してから射線を作る対面。,設置物・範囲圧を処理してから通路を使う。,バスティオンの得意な通路に残らず、設置物や範囲圧を処理してから射線を作る。,バスティオンの範囲圧が残る通路で粘り続ける。,ソルジャー76視点では「範囲・設置物処理」として処理する。最初に設置物・範囲圧を処理してから通路を使う。,v50.12
Soldier76,ソルジャー76,Mei,メイ,ダメージ,スペシャリスト,範囲・設置物処理,撃ち合いテンポ,設置処理,設置物、罠、範囲圧を処理してから射線を作る対面。,設置物・範囲圧を処理してから通路を使う。,メイの得意な通路に残らず、設置物や範囲圧を処理してから射線を作る。,メイの範囲圧が残る通路で粘り続ける。次の遮蔽へ戻る。,ソルジャー76視点では「範囲・設置物処理」として処理する。最初に設置物・範囲圧を処理してから通路を使う。,v50.12
Soldier76,ソルジャー76,Illari,イラリー,サポート,サバイバー,救助崩し,長射線管理,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復資源を吐かせる。,イラリー本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから撃破候補を切り替える。,イラリーの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復資源を吐かせる。,v50.12
Soldier76,ソルジャー76,Jetpack Cat,ジェットパック・キャット,サポート,タクティシャン,空中対策,救助崩し,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,ジェットパック・キャットの最高高度ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,ジェットパック・キャットを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。,v50.12
Soldier76,ソルジャー76,Juno,ジュノ,サポート,サバイバー,空中対策,救助崩し,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,ジュノの最高高度ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,ジュノを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。,v50.12
Soldier76,ソルジャー76,Baptiste,バティスト,サポート,タクティシャン,救助崩し,撃ち合いテンポ,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復資源を吐かせる。,バティスト本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから撃破候補を切り替える。,バティストの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復資源を吐かせる。,v50.12
Soldier76,ソルジャー76,Mercy,マーシー,サポート,メディック,空中対策,救助崩し,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,マーシーの最高高度ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,マーシーを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。,v50.12
Soldier76,ソルジャー76,Lifeweaver,ライフウィーバー,サポート,メディック,救助崩し,撃ち合いテンポ,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復資源を吐かせる。,ライフウィーバー本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから撃破候補を切り替える。,ライフウィーバーの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復資源を吐かせる。,v50.12
Soldier76,ソルジャー76,Kiriko,キリコ,サポート,メディック,フランカー対策,救助崩し,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,キリコのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,キリコを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。,v50.12
Soldier76,ソルジャー76,Brigitte,ブリギッテ,サポート,サバイバー,救助崩し,撃ち合いテンポ,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復資源を吐かせる。,ブリギッテ本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから撃破候補を切り替える。,ブリギッテの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復資源を吐かせる。,v50.12
Soldier76,ソルジャー76,Moira,モイラ,サポート,メディック,フランカー対策,救助崩し,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,モイラのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,モイラを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。,v50.12
Soldier76,ソルジャー76,Lúcio,ルシオ,サポート,タクティシャン,フランカー対策,救助崩し,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,ルシオのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,ルシオを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。,v50.12
Soldier76,ソルジャー76,Ana,アナ,サポート,タクティシャン,救助崩し,長射線管理,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復資源を吐かせる。,アナ本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから撃破候補を切り替える。,アナの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復資源を吐かせる。,v50.12
Soldier76,ソルジャー76,Wuyang,ウーヤン,サポート,サバイバー,救助崩し,撃ち合いテンポ,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復資源を吐かせる。,ウーヤン本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから撃破候補を切り替える。,ウーヤンの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復資源を吐かせる。,v50.12
Soldier76,ソルジャー76,Zenyatta,ゼニヤッタ,サポート,タクティシャン,救助崩し,長射線管理,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復資源を吐かせる。,ゼニヤッタ本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから撃破候補を切り替える。,ゼニヤッタの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復資源を吐かせる。,v50.12
Soldier76,ソルジャー76,Mizuki,ミズキ,サポート,サバイバー,救助崩し,撃ち合いテンポ,救助崩し,本人撃破より、救助・回復スキルを使わせる順番が重要な対面。,撃破より先に救助・回復資源を吐かせる。,ミズキ本人と救助先を交互に見て、防御・救助・移動スキルを使わせてから撃破候補を切り替える。,ミズキの救助スキルを見ないまま撃破確定だと決めつける。,ソルジャー76視点では「救助崩し」として処理する。最初に撃破より先に救助・回復資源を吐かせる。,v50.12
Sojourn,ソジョーン,D.Va,D.Va,タンク,イニシエーター,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,D.Vaの最高高度ではなく、降下・着地・支援線が切れる瞬間へ中距離バーストを合わせる。,D.Vaを見上げ続けて地上の脅威と遮蔽を失う。,ソジョーン視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。,v50.12
Sojourn,ソジョーン,Winston,ウィンストン,タンク,イニシエーター,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,ウィンストンの最高高度ではなく、降下・着地・支援線が切れる瞬間へ中距離バーストを合わせる。,ウィンストンを見上げ続けて地上の脅威と遮蔽を失う。,ソジョーン視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。,v50.12
Sojourn,ソジョーン,Doomfist,ドゥームフィスト,タンク,イニシエーター,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,ドゥームフィストの最高高度ではなく、降下・着地・支援線が切れる瞬間へ中距離バーストを合わせる。,ドゥームフィストを見上げ続けて地上の脅威と遮蔽を失う。,ソジョーン視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。,v50.12
Sojourn,ソジョーン,Hazard,ハザード,タンク,ストールワート,フランカー対策,高耐久削り,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,ハザードのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,ハザードを単独で深追いし、味方射線と回復範囲から外れる。,ソジョーン視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。,v50.12
Sojourn,ソジョーン,Wrecking Ball,レッキング・ボール,タンク,イニシエーター,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,レッキング・ボールの最高高度ではなく、降下・着地・支援線が切れる瞬間へ中距離バーストを合わせる。,レッキング・ボールを見上げ続けて地上の脅威と遮蔽を失う。,ソジョーン視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。,v50.12
Sojourn,ソジョーン,Zarya,ザリア,タンク,ブルーザー,高耐久削り,撃ち合いテンポ,高耐久,倒し切りより、資源を吐かせて後衛へ切り替える対面。,倒し切りより資源を使わせて射線を変える。,ザリアを倒し切ろうとせず、防御資源を使わせたら後衛か孤立敵へ切り替える。,ザリアだけを撃ち続け、後衛の支援線を放置する。,ソジョーン視点では「高耐久削り」として処理する。最初に倒し切りより資源を使わせて射線を変える。,v50.12
Sojourn,ソジョーン,Junker Queen,ジャンカー・クイーン,タンク,ストールワート,撃ち合いテンポ,高耐久削り,撃ち合い,スキル交換後の1回のピークで有利不利が変わる対面。,主要スキル後の1回のピークで有利を取る。,ジャンカー・クイーンの主要スキル後に1回のピークし、同じ位置で撃ち合いを続けない。,ジャンカー・クイーンのスキルが残っている状態で同じピークを繰り返す。,ソジョーン視点では「撃ち合いテンポ」として処理する。最初に主要スキル後の1回のピークで有利を取る。,v50.12
Sojourn,ソジョーン,Domina,ドミナ,タンク,ストールワート,高耐久削り,撃ち合いテンポ,高耐久,倒し切りより、資源を吐かせて後衛へ切り替える対面。,倒し切りより資源を使わせて射線を変える。,ドミナを倒し切ろうとせず、防御資源を使わせたら後衛か孤立敵へ切り替える。,ドミナだけを撃ち続け、後衛の支援線を放置する。,ソジョーン視点では「高耐久削り」として処理する。最初に倒し切りより資源を使わせて射線を変える。,v50.12
