hero_id,reaper_comp_stats.threat_reaper,reaper_comp_stats.close_range_value,reaper_comp_stats.wraith_form_value,reaper_comp_stats.shadow_step_value,reaper_comp_stats.death_blossom_denial,reaper_comp_stats.frontline_pressure_value,reaper_comp_stats.matchup_rating,reaper_comp_stats.priority_score,reaper_comp_stats.self_heal_duel_value,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.death_blossom_check,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.sombra_hack_note,diagnosis_snippets.cross_target_note,diagnosis_snippets.self_heal_policy,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,cross_target_recalibration,torbjorn_reassessment_note,reaper_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.diff_points
Symmetra,6,6,6,6,4,7,5,6,6,"[""self_heal_favorable"", ""cross_target_recalibrated_v41""]","[""フォトン・バリア"", ""テレポーター""]","[""セントリー・タレット"", ""テレポーター"", ""フォトン・バリア""]","[""フォトン・バリア"", ""テレポーター""]",シンメトラは単独で追いすぎず、相手の継続火力が低い場面だけ近距離を長めに戦う。ヘルファイア・ショットガンの回復を見込みつつ、逃げ道は残す。,セントリー・タレット、テレポーター、フォトン・バリアの後,デス・ブロッサムはシンメトラのフォトン・バリア、テレポーターを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,シンメトラのビームが伸びる前に短く倒し切る。セントリー・タレットとテレポーター周辺では長く戦わない。,通常射撃回復で押し切れる場面はあるが、ビームが伸びる前に短く決める。,v41,6,5,ビーム警戒・短期決着,,,,,,
Junkrat,5,7,6,5,4,7,6,5,6,"[""self_heal_favorable""]","[""コンカッション・マイン"", ""RIPタイヤ""]","[""スティール・トラップ"", ""コンカッション・マイン""]","[""RIPタイヤ"", ""コンカッション・マイン""]",ジャンクラットは単独で追いすぎず、相手の継続火力が低い場面だけ近距離を長めに戦う。ヘルファイア・ショットガンの回復を見込みつつ、逃げ道は残す。,スティール・トラップ、コンカッション・マインの後,デス・ブロッサムはジャンクラットのRIPタイヤ、コンカッション・マインを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Sojourn,6,7,7,7,4,5,6,5,5,"[""cross_target_recalibrated_v41""]","[""パワー・スライド"", ""レールガン"", ""オーバークロック""]","[""ディスラプター・ショット"", ""パワー・スライド""]","[""レールガン"", ""オーバークロック"", ""パワー・スライド""]",ソジョーンには遮蔽を使って近距離だけ戦う。開けた場所で長く撃ち合わず、2発撃つ、隠れる、詰め直すの順で先に体力を削る。,ディスラプター・ショット、パワー・スライドの後,デス・ブロッサムはソジョーンのレールガン、オーバークロック、パワー・スライドを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,ソジョーンには開けた場所で撃たれない。リーパーは遮蔽裏から近い遮蔽位置を取り、パワー・スライド後に削る。,通常射撃回復は近距離限定。レールガンが溜まっている時は無理に出ず、パワー・スライド後を狙う。,v41,6,6,接近設計・射線回避,,,,,,
Soldier: 76,5,7,7,6,4,5,6,4,6,"[""cross_target_recalibrated_v41""]","[""スプリント"", ""タクティカル・バイザー""]","[""ヘリックス・ロケット"", ""スプリント""]","[""タクティカル・バイザー"", ""スプリント""]",ソルジャー76には遮蔽を使って近距離だけ戦う。開けた場所で長く撃ち合わず、2発撃つ、隠れる、詰め直すの順で先に体力を削る。,ヘリックス・ロケット、スプリントの後,デス・ブロッサムはソルジャー76のタクティカル・バイザー、スプリントを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,ソルジャー76は中距離では危険だが、近距離ならリーパーの通常射撃回復込みで戦いやすい。ヘリックス・ロケット後に詰める。,通常射撃回復を活かすなら、ヘリックス・ロケット後の近距離だけ戦う。継続火力を長く浴びる位置では粘らない。,v41,5,6,近距離回復勝負,,,,,,
Sombra,8,4,8,4,6,5,5,6,5,"[""mobility_threat"", ""sombra_hack_cast_start"", ""sombra_hack_confirmed""]","[""ハック"", ""EMP"", ""トランズロケーター""]","[""ハック"", ""トランズロケーター"", ""ステルス""]","[""ハック"", ""EMP"", ""トランズロケーター""]",ソンブラには、ハック開始時と成立後で行動を分ける。開始時はヘルファイア・ショットガンを1発当てて中断を狙い、成立したらレイス・フォームやシャドウ・ステップに頼らず遮蔽へ戻る。,ハックの線が見えた瞬間、またはトランズロケーター後に再出現した瞬間,デス・ブロッサムはハック、EMPを確認してから使う。ハック開始時に発動を急ぐより、まず中断か遮蔽切りを優先する。,ハック開始時はヘルファイア・ショットガンで中断を狙い、成立後はレイス・フォーム・シャドウ・ステップ・デス・ブロッサムを使えない前提で徒歩退避する。,,,,,,,,,,,,
Tracer,6,4,7,4,4,5,6,6,5,"[""mobility_threat""]","[""ブリンク"", ""リコール"", ""パルス・ボム""]","[""リコール後"", ""ブリンクを複数使った後""]","[""ブリンク"", ""リコール"", ""パルス・ボム""]",トレーサーは動き出しを追うより、近づいてきた瞬間を撃つ。レイス・フォームを先に使わず、相手の接近スキル後に体力差を作ってから退く。,ブリンク、リコールの後,デス・ブロッサムはトレーサーのリコール、パルス・ボム、ブリンクを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Torbjörn,5,7,5,5,5,7,6,5,6,"[""self_heal_favorable""]","[""オーバーロード"", ""モルテン・コア""]","[""タレット"", ""オーバーロード""]","[""オーバーロード"", ""モルテン・コア""]",トールビョーンは単独で追いすぎず、相手の継続火力が低い場面だけ近距離を長めに戦う。ヘルファイア・ショットガンの回復を見込みつつ、逃げ道は残す。,タレット設置、オーバーロードの後,デス・ブロッサムはトールビョーンのオーバーロード、モルテン・コアを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,v47_torbjorn_db_applied,トールビョーンDB v1統合時に、タレット設置・オーバーロード・モルテン・コアの表記と確認タイミングを再点検。,,,,
Hanzo,7,6,7,8,4,5,4,6,4,"[""long_sightline_avoid"", ""cross_target_recalibrated_v41""]","[""体術"", ""壁登り"", ""龍撃波""]","[""電光石火"", ""鳴響矢水"", ""体術""]","[""龍撃波"", ""体術"", ""壁登り""]",ハンゾーの長い射線では撃ち合わない。正面移動ではなく、遮蔽裏のルートからシャドウ・ステップで近い遮蔽位置を取り、接近できた時だけ一気に削る。,電光石火、鳴響矢水、体術の後,デス・ブロッサムはハンゾーの龍撃波、体術、壁登りを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,ハンゾーの鳴響矢水が残っている時は奇襲が通りにくい。リーパーは見られていない遮蔽側から接近し、外したらレイス・フォームで戻る。,通常射撃回復では一発の大ダメージを相殺しにくい。見られていない遮蔽側から接近する。,v41,7,4,索敵警戒・奇襲設計,,,,,,
Bastion,5,5,6,5,4,5,6,5,4,[],"[""砲台モード""]","[""強襲モード"", ""A-36タクティカル・グレネード""]","[""砲台モード""]",バスティオンには遮蔽を使って近距離だけ戦う。開けた場所で長く撃ち合わず、2発撃つ、隠れる、詰め直すの順で先に体力を削る。,強襲モード、A-36タクティカル・グレネードの後,デス・ブロッサムはバスティオンの砲台モードを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Pharah,8,2,6,4,4,5,4,5,5,"[""mobility_threat"", ""air_control_limited""]","[""ジャンプ・ジェット"", ""ジェット・ダッシュ"", ""バレッジ""]","[""コンカッシブ・ブラスト"", ""ジャンプ・ジェット"", ""ジェット・ダッシュ""]","[""バレッジ"", ""ジャンプ・ジェット"", ""ジェット・ダッシュ""]",ファラを空中で長く追わない。味方が着地や低空を作った瞬間だけ撃ち、普段は敵タンクや地上サポートを近距離で削って圧を作る。,コンカッシブ・ブラスト、ジャンプ・ジェット、ジェット・ダッシュの後,デス・ブロッサムはファラのバレッジ、ジャンプ・ジェット、ジェット・ダッシュを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Freja,5,5,6,6,4,5,6,5,5,"[""mobility_threat""]","[""クイック・ダッシュ"", ""アップドラフト"", ""ボーラ・ショット""]","[""ボーラ・ショット"", ""テイク・エイム"", ""クイック・ダッシュ""]","[""ボーラ・ショット"", ""クイック・ダッシュ"", ""アップドラフト""]",フレイヤは動き出しを追うより、近づいてきた瞬間を撃つ。レイス・フォームを先に使わず、相手の接近スキル後に体力差を作ってから退く。,ボーラ・ショット、テイク・エイム、クイック・ダッシュの後,デス・ブロッサムはフレイヤのボーラ・ショット、クイック・ダッシュ、アップドラフトを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Venture,8,4,8,4,4,5,5,6,5,"[""mobility_threat""]","[""バロー"", ""ドリル・ダッシュ"", ""テクトニック・ショック""]","[""ドリル・ダッシュ"", ""バロー""]","[""バロー"", ""テクトニック・ショック"", ""ドリル・ダッシュ""]",ベンチャーは動き出しを追うより、近づいてきた瞬間を撃つ。レイス・フォームを先に使わず、相手の接近スキル後に体力差を作ってから退く。,ドリル・ダッシュ、バローの後,デス・ブロッサムはベンチャーのバロー、テクトニック・ショック、ドリル・ダッシュを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Mei,7,7,7,5,5,7,6,6,6,"[""self_heal_favorable""]","[""クリオフリーズ"", ""アイス・ウォール"", ""ブリザード""]","[""アイス・ウォール"", ""クリオフリーズ""]","[""クリオフリーズ"", ""アイス・ウォール"", ""ブリザード""]",メイは単独で追いすぎず、相手の継続火力が低い場面だけ近距離を長めに戦う。ヘルファイア・ショットガンの回復を見込みつつ、逃げ道は残す。,アイス・ウォール、クリオフリーズの後,デス・ブロッサムはメイのクリオフリーズ、アイス・ウォール、ブリザードを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Reaper,7,9,9,5,8,6,5,6,7,"[""cross_target_recalibrated_v41"", ""mirror_matchup_v41""]","[""レイス・フォーム"", ""デス・ブロッサム""]","[""レイス・フォーム"", ""シャドウ・ステップ""]","[""レイス・フォーム"", ""遮蔽位置""]",リーパーには遮蔽を使って近距離だけ戦う。開けた場所で長く撃ち合わず、2発撃つ、隠れる、詰め直すの順で先に体力を削る。,シャドウ・ステップ、レイス・フォームの後,デス・ブロッサムはリーパーのレイス・フォーム、デス・ブロッサム、シャドウ・ステップを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,リーパーミラーは、レイス・フォームを先に使った側が不利になりやすい。遮蔽付近でヘルファイア・ショットガンを2発当て、相手のレイス・フォーム後に深追いしない。,,v41,7,5,レイス・フォーム差,,,True,リーパーミラーは、レイス・フォームを先に使った側が不利になりやすい。遮蔽付近でヘルファイア・ショットガンを2発当て、相手のレイス・フォーム後に深追いしない。,レイス・フォームを先に使わない / 遮蔽付近で2発当てる距離を作る / デス・ブロッサムは相手のレイス・フォーム後に使う,"[""レイス・フォームを先に使わない"", ""遮蔽付近で2発当てる距離を作る"", ""デス・ブロッサムは相手のレイス・フォーム後に使う""]"
Vendetta,6,4,6,3,4,5,6,5,5,"[""mobility_threat""]","[""ウォーディング・スタンス"", ""ソアリング・スライス"", ""サンダリング・ブレード""]","[""ワールウィンド"", ""ソアリング・スライス"", ""ウォーディング・スタンス""]","[""ウォーディング・スタンス"", ""サンダリング・ブレード"", ""ソアリング・スライス""]",ヴェンデッタは動き出しを追うより、近づいてきた瞬間を撃つ。レイス・フォームを先に使わず、相手の接近スキル後に体力差を作ってから退く。,ワールウィンド、ソアリング・スライス、ウォーディング・スタンスの後,デス・ブロッサムはヴェンデッタのウォーディング・スタンス、サンダリング・ブレード、ソアリング・スライスを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
